stifling	étouffant
ashamed	avoir honte
abysmal	épouvantable
faint-hearted	peureux
dreary	triste, morne
tight-lipped	muet (dans le sens refusé de parler)
inescapable	inéluctable
clunky	maladroit
witty	plein d'esprit, spirituel
wisecracking	blagueur
wrecked	(complètement) détruit
dire	désastreux, pressant, urgent
daunting	intimidant
thankless	ingrat
unyielding	inflexible/inébranlable
elusive	insaisissable
scheming	intrigant
leafy	feuillu
mind-blowing	hallucinant
straightforward	facile, simple
subtle	subtil
gathered	rassemblé
neglected	négligé, laissé à l'abandon
sheer	pur, simple
consistent	cohérent
glitzy	éclatant
gilded	doré, à la beauté superficielle
gleeful	ravi, joyeux
thorough	minutieux, rigoureux (pour une personne)
foreseeable	prévisible
rude	impoli, grossier, vulgaire
