to mangle	broyer
to hide	cacher
to vow to do sth	se jurer de faire qqch
to let sb down	décevoir
to let down sb	laisser tomber
to agonize	se tourmenter
to squirm	se tortiller
to thrill	ravir
to upset	contrarier
to arise	se produire
to grasp	saisir (figuré 	comprendre)
to sully	entacher, salir (soutenu 	souiller)
to inhabit	habiter
to melt	fondre
to drag	trainer
to disavow sth	renier, désavouer
to weaponize sth	transformer qqch en arme
to pile up sth	empiler
to lie ahead	attendre qqn (figuré), se préparer, se profiler
to collude	conspirer, être de connivence avec qqn
to taunt	se moquer de
to uphold sb or sth	soutenir qqch ou qqn
to croon	chantonner, fredonner
to handcuff	passer les menottes à qq
to swallow sth	avaler qqch
to yell	hurler
to duck	esquiver
to enact	promulguer, décréter (une loi)
to flee sth, sb	fuir qqch, qqn
to gather sth, sb	rassembler, réunir
to grant	accorder
to wobble	osciller
to strive	s'efforcer
to repel	repousser
to pummel sth/sb	rouer de coups
to clog	boucher
to reap	récolter
to squirt	éclabousser
to warp	déformer
to rack up	accumuler, récolter
to rig sth	truquer qqch
to lecture sb	faire la morale à qqn, donner des leçons à qqn
to go through	avoir connu, avoir passé 
to grant	accorder
to waver	hésiter, faiblir (figuré)
to spearhead sth	mener qqch, être à la tête de qqch (figuré)
to bar	empêcher, interdire
to spiral downward	s'effondrer, décliner
to be struck by	être frappé par, touché par (figuré)
to empower sb	donner plus de pouvoir à qqn
to settle down	s'installer
