underneath	en dessous de (prép)
stifling	 étouffant (adj)
to mangle	 broyer (vb)
subsequently	 ensuite, par la suite (adv)
ashamed	 avoir honte (adj)
abysmal	 épouvantable (adj)
lace	 dentelle (n)
faint-hearted	 peureux (adj)
to hide	 cacher (vb)
intimacy	 intimité (n)
hen	 poule (n)
to vow to do sth	 se jurer de faire qq (figuré)
to let sb down	décevoir (vb)
to let down sb	 laisser tomber (figuré)
to agonize	 se tourmenter (vb)
to squirm	 se tortiller (figuré)
to thrill	 ravir (figuré)
to upset	 contrarier (vb)
to arise	 se produire (vb)
to grasps	saisir (figurer : comprendre) (vb)
prone to sth	sujet à qq (figuré)
on a daily basis	quotidiennement (expression)
pour down	pleuvoir à verse (figuré)
to melt	foundre (figuré)
to drag	trainer (figuré)
dreary	triste, morne (adj)
to inhabit	habiter (figuré)
to sully	 entacher, salir (soutenu : souiller) (figuré)
engrossed in sth	absorbé par qq (figuré)
to be unable to do sth	être incapable de faire qq (figuré)
to think twice	y réfléchir à deux fois (expression) (figuré)
afoot in the pageant	en marche dans le concours de beauté (figuré)
rotten	pourri (adj)
tight-lipped	muet (dans le sens refusé de parler) (adj)
disavow sth 	renier, desavouer  (vb)
allegedly	prétendument, supposément (adv)
to weaponize sth	transformer qq en arme (vb)
to pile up sth	empiler (vb) 
to lie head	attendre qqn (figuré), se préparer, se profiler (vb, figuré) 
collude	conspirer, être de connivence avec qqn (vb)
somehow	d'une manière ou d'une autre, tant bien que mal (adv)
to taunt	se moquer de (vb)
to uphold sb or sth	soutenir qqch ou qqn (vb, figuré)
inescapable	inéluctable (adj)
holdouts	réfractaires (n)
clunky	maladroit (adj)
glance	coup d'oeil, aperçus (n)
witty	plein d'esprit, spirituel (adj)
wisecracking	blagueur (adj)
to croon	chantonner, fredonner (vb)
din	vacarme (n)
mankind	l'humanité (n)
hatch	trappe (n)
bedlam	maison de fous, asile (figuré)
to handcuff	passer les menottes à qq (figuré)
to swallow sth		avaler qq (figuré)
the nitty-gritty	l'essentiel (figuré) 
wrecked	(complétement) détruit (figuré)
to wonder	se demander (vb)
overwhelmed by	submergé par (figuré)
leisure	loisir (n)
tirelessly	sans relâche (adv)
to duck	esquivé (vb, figuré)
dire désastreux (adj)
looters	pillards (n)
caseload	nombre de cas, d'affaires (n)
a silver bullet	une solution miracle 
to wound	blesser (vb)
to shout	crier (vb)
a throng	une foule (n)
a tie 	une cravate (n)
to fear stg	craindre qqch (vb)
to duck	esquiver	plonger (figuré, vb)
headhache	maux de tête (n)
to enact	promulger, décréter (une loi) (vb)
cherfull	joyeux (adj)
squeeze sth/sb into sth	faire entrer [qch] dans [qch] 
daunting	intimidant (adj)
thankless	ingrat (adj)
to flee sth, sb	fuir qqch, qqn (vb)
to gather sth, sb	rassembler, reunir (vb)
in attendance	présent (adj)
it is waging	il est entrain de faire/ de mener 
unyielding	inflexible/inébranlable (adj)
solely	uniquement (adv)
to grant	accorder (vb)
to wobble	osciller (vb)
fleet	flotte (n)
has sparked	a susciter (vb)
To strive	s'efforcer (vb)
To repel	repousser (vb)
Pummel sthg/ sb	rouer de coups (vb)
bedrock	socle (n)
Elusive	insaisissable (adj)
scheming	intrigant (adj)
wilfully	délibérément (adv)
to be clogged	être bouché (figuré)
to reap	 récolter (vb)
to squirt	éclabousser (vb)
the surging	la montée (n)
a flocking	une affluence, un troupeau (n)
to warp	déformer (vb)
ironmongery	quincaillerie (n)
butcher	boucher (n)
madmen	fous (n)
cobblestone	pavé (n)	
leafy	feuillu (adj)
strain	effort, pression (n)
falsehood	mensonge, malhonnêteté (n)
to yell	hurler (vb)
prominence	notoriété, importance
to rack up	accumuler, récolter (v)
to rig sth	truquer qqch (v)
