consumption	la consommation
to cope	s'en sortir, se débrouiller
to cope with	faire face à, essayer de résoudre
a corporation	une entreprise, une société
corporate	des entreprises
corporate profits	les bénéfices des entreprises
a demand	une exigence
supply and demand	l'offre et la demande
to deprive someone of	priver quelqu'un de
deprivation	pauvreté, misère
to deserve	mériter
this article was published on October the second	cet article a été publié le 2 octobre
in October 2018	en octobre 2018
two thousand and nine	2009(en lettre)
nineteen ninety-nine	1999(en lettre)
a conundrum	un problème inextricable, un casse-tête
a moot point	un point discutable
a warning	une mise en garde
a matter of prime importance	un sujet d'importance capitale
a matter of common concern	un sujet qui inquiète tout le monde
a fact of lige	une réalité qui est entrée dans les moeurs
print journalism	la presse écrite
a chart	un tableau, un graphique
a rate	un taux
the death-rate	le taux de mortalité
a catchword/a catchphrase	un slogan accrocheur (V1/V2)
an understatement	une litote (affirmation qui est en dessous de la vérité)
a cliché/ a stereotype	un cliché (V1/V2)
to give an insight into	donner un aperçu de
to highlight/to spotlight	mettre en lumière (V1/V2)
to focus on	se concentrer sur
to point out that	faire remarquer que
to dwell on	insister sur
to shed light on	éclairer (un problème)
to stress/to underline/to emphasize/to lay emphasis on/to underscore	souligner (V1/V2/V3/V4/V5)
to suggest/to imply that	impliquer (V1/V2)
to infer	déduire
