to account for 	 expliquer, justifier
to be accountable for 	 être responsable de
an account 	 un compte-rendu
accounts 	 la comptabilité
an accountant 	 un comptable
to take account of…	 tenir compte de…
to take into account 	 prendre en ligne de compte
on no account	 en aucun cas, sous aucun prétexte
on account of 	 en raison de
to acknowledge	 admettre
to agree with …	 être d’accord
as agreed…	 comme convenu…
an agreement 	 un accord. 
A peace agreement	 un accord de paix
to allow 	 permettre
to allow for 	 tenir compte de…
an allowance 	 une allocation, une indemnité
Family allowances	 allocations familiales
Rent allowances	 allocations logement
to alter 	 modifier, changer
to amount to 	 se monter à, équivaloir à
an amount + uncountable	 une quantité
any amount of …	
to appeal to 	 1. faire appel à | 2. plaire
an appeal 	 1. un appel | 2. un attrait
to apply for 	 poser sa candidature
an applicant 	 un candidat (à un poste)
an application 	 une candidature
to appoint 	 nommer
an appointment 	 1. un rendez-vous. 2. une nomination
to arise 	 se produire, se poser
to arouse 	 1. réveiller, éveiller | 2. susciter | 3. stimuler, pousser à agir
to assess 	 évaluer
to attend 	 assister à
to attend to a patient	 soigner un malade
school attendance 	 la fréquentation, l’assiduité
to back 	 soutenir
the backbone 	 l’épine dorsale, l’essentiel (fig.)
to backfire 	 avoir un effet inverse que prévu
the background 	 l’arrière-plan
the social background	 le milieu social
the backlash (sing.)	 les répercussions (d’une crise, d’une guerre, d’un événement)
a backlog 	 un retard accumulé
backward 	 arriéré mental, en retard.
to ban 	 interdire
to bear 	 porter, supporter
to bear witness to 	 témoigner de
to bear in mind 	 tenir compte de, garder à l’esprit
to bear out 	 confirmer
to blame somebody for	 accuser quelqu’un de…
the body 	 1. le corps | 2. un grand nombre
a body of experts	 un comité d’experts
taken in a body	 pris dans leur ensemble…
to boost 	 augmenter, donner un coup de pouce, encourager
