to break 	 casser, briser
to break the law	 enfreindre la loi
to break a record	 battre un record
to break new ground	 innover, faire œuvre de pionnier
to break away from 	 faire sécession, couper les ponts
a breakaway party	 un parti dissident, séparatiste
to break down 	 échouer, tomber en panne
a breakdown 	 une panne (moteur, machine)
a nervous breakdown	 une dépression nerveuse
family breakdown 	 l’éclatement de la famille
to break into 	 entrer par effraction
to break into a market	 pénétrer un marché
to break out 	 éclater (pour une guerre ou un conflit)
a break 	 une pause, une rupture
to take a break	 faire une pause, se changer les idées, prendre des vacances
a breakthrough 	 une percée, une découverte capitale
a break-up 	 une rupture
a case 	 1. un cas, une éventualité | 2. un procès, une affaire | 3. une valise
to try a case	 juger une affaire
a charge 	 une inculpation
To be on a rape charge	 être inculpé de viol
the charges made against him by his secretary	 les accusations portées contre lui…
to make a charge for	 facturer
to be in charge of 	 être responsable de…, diriger
to charge 	 facturer, demander un prix
to charge someone with …	 inculper quelqu’un de…
to check 	 1.vérifier | 2. freiner, enrayer
to cast 	 jeter. 
To cast anchor	 jeter l’ancre.
to claim 	 1. prétendre | 2. revendiquer
to collapse 	 s’effondrer
a collapse 	 une chute, un effondrement
to commit 	 commettre
to be committed to + V-ing	 s’être engagé à, s’employer à
a commitment 	 un engagement
to compel 	 obliger
to compel respect	 imposer le respect
compelling 	 incontestable, irréfutable
to comply with 	 respecter, se plier à
compliance 	 conformité
a concern 	 1. une affaire | 2. une entreprise | 3. une inquiétude
a matter of great concern	 un sujet de grande inquiétude
to consume 	 consommer
a consumer 	 un consommateur
Consumer goods	 biens de consommation
consumerism	 le consumérisme
consumer society 	 la société de consommation
consumption 	 la consommation
to cope 	 s’en sortir, se débrouiller
to cope with 	 faire face à un problème, essayer de le résoudre
a corporation 	 une société
corporate 	 … des entreprises. 
Corporate profits	 les bénéfices des entreprises
a demand 	 une exigence
supply and demand	 l’offre et la demande
to deprive someone of…	 priver quelqu’un de…
to deserve 	 mériter
a conundrum 	 un problème inextricable, un casse-tête
a moot point 	 un point discutable
a warning 	 une mise en garde
a matter of prime importance	 un sujet d’importance capitale
a matter of common concern 	 un sujet qui inquiète tout le monde
a fact of life 	 une réalité qui est entrée dans les mœurs
print journalism 	 la presse écrite
a chart 	 un tableau, un graphique 
a rate 	 un taux
a catchword /a catchphrase 	 un slogan accrocheur
an understatement 	 une affirmation qui est en dessous de la vérité (une litote)
a cliché, a stereotype	 un cliché
to give an insight into…	 donner un aperçu de…
to highlight/ to spotlight	 mettre en lumière
to focus on 	 se concentrer sur
to point out that…	 faire remarquer que
to dwell on 	 insister sur…
to shed light on 	 éclairer (un problème)
to stress/underline/to emphasize/to lay emphasis on/to underscore	 souligner
to suggest/to imply that 	 impliquer
to infer 	 déduire
