to deter from	 dissuader
a deterrent 	 un moyen de dissuasion
to act as a deterrent	 exercer un effet de dissuasion
to disappoint 	 décevoir
disappointing 	 décevant
disappointingly	 de manière décevante
disappointment 	 déception
to dismiss 	 licencier, renvoyer
to dismiss an idea	 rejeter une idée
a dismissal 	 un licenciement
to disturb 	 déranger
disturbance 	 des troubles, des incidents, des émeutes
disturbing 	 troublant, inquiétant
to downplay (to play down) 	 minimiser
to drop 	 laisser tomber
to drop out of school 	 quitter l’école, laisser tomber ses études
a drop-out 	 1. un jeune qui abandonne ses études | 2. un marginal, un laissé-pour-compte
to edge up 	 augmenter progressivement
to edge down 	 diminuer progressivement
to edge forward	 faire de légers progrès
an edge 	 un bord
to have an edge on …	 avoir une légère supériorité sur…
edgy 	 crispé, stressé, enervé
to emerge … from	 apparaître, émerger, surgir
it emerges from this that…	 il en résulte que…
the emergence of…	 la naissance, l’émergence
emergent 	 émergent
the emergency 	 l’urgence. 
In case of emergency	 en cas de nécessité.
Todeclare a state of emergency	 … un état d’urgence. 
An emergency exit	 une sortie de secours
an emergency landing	 un atterrissage forcé. 
The emergency service/ward	 le service des urgences (hôpital)
to encompass 	 englober
to endeavour 	 s’efforcer
to enforce the law	 faire appliquer la loi
to enforce on/upon	 imposer
the enforcement 	 l’application
to entail 	 entraîner, provoquer
to eradicate 	 éradiquer, supprimer
the eradication 	 l’éradication
an event 	 un événement. 
Current events/current affairs	 l’actualité
in any event	 dans tous les cas, quoi qu’il arrive
eventful 	 mouvementé
to evict 	 expulser
to exceed 	 dépasser
exceedingly	 extrêmement
excess 	 un excès
to expect 	 attendre, s’attendre à
an expectation 	 une attente, une espérance. 
In expectation of	 dans l’attente 
to live in expectation	 vivre dans l’expectative
contrary to all expectations	 contrairement à toutes les attentes
to come up to somebody’s expectations	 répondre à l’attente de quelqu’un
beyond expectations	 au-delà de toute attente
an expectant mother	 une future mère
life expectancy 	 l’espérance de vie
to extend 	 1. agrandir | 2. prolonger | 3. s’étendre
the extent 	 le degré, la mesure, l’ampleur, l’étendue
the extinction 	 la disparition
to reckon/deem/consider/suppose/believe 	 estimer, penser, croire…
to surmise /assume 	 supposer.
to criticize 	 critiquer
to contend that	 prétendre que
to endorse a common opinion	 adhérer à une opinion générale
to emphasize /to lay emphasis on	 souligner
to ignore , to disregard 	 ne pas tenir compte
to stick to the facts 	s'en tenir aux faits
to take something at face value 	 prendre au pied de la lettre
to speak for/to defend/to take a stand on behalf of …/to be committed to 	 prendre le parti de…
to make a plea for/to plead for/against	 plaider en faveur de…/contre…
to make a compelling case for/against	 avancer des arguments irréfutables en faveur/contre
to support a lost cause/an opinion	 défendre une cause perdue, une opinion…
to level an accusation against	 porter une accusation contre…
to be beside the point	 être à côté de la question
to be to the point 	 être pertinent
to be taken for granted …	 être considéré comme acquis, comme allant de soi…
to set up a connection between…	 établir un lien entre…
to cite or to quote/a case of/an example of…	 citer un exemple
to bring to the fore 	 mettre en évidence
to boil down to …	 se résumer à, se réduire à…
