to face	faire face à
to face up to	faire face à, affronter
to be faced with	être confronté à
a face-off	une confrontation
to fail	ne pas réussir, rater
a failure	un échec
to find	trouver
to be found guilty	être déclaré coupable
to find out	découvrir
the findings	les conclusions (d’une étude, d’une enquête)
food	la nourriture
food aid	l’aide alimentaire
the food chain	la chaine alimentaire
food for thought	matière à réflexion
to feed	nourrir
to feed somebody information	fournir des informations à quelqu’un
to feed data into a computer	entrer des données dans un ordinateur
to foster	encourager, promouvoir
free	libre
free trade	le libre-échange
free-will	le libre-arbitre
freedom	la liberté
freedom of speech	la liberté de parole
freedom of thought	la liberté de pensée
to forecast / to foresee	prévoir
a frame	un cadre (sens propre et figuré)
a framework	un cadre, une structure
a legal framework	un cadre légal
to fulfil	1. réaliser - 2. remplir
a fulfilment	un accomplissement, une réalisation
to fund	financer
funds	des crédits, des fonds
to raise funds	réunir des fonds
to grant a subsidy / a scholarship	accorder une subvention, une bourse d’études
a grant	une subvention, une bourse
a grip on…	une prise sur
to have a good grip on a subject	maîtriser un sujet
to come to grips with a problem (to tackle)	affronter un problème
to lose one’s grip	lâcher prise, perdre le contrôle de la situation
to fall into the grips of a sect	tomber aux mains d’une secte
the ground	le sol
to run a business into the ground	mener une affaire à la ruine
to cut the ground under somebody’s feet	couper l’herbe sous les pieds de quelqu’un
on neutral ground	en terrain neutre
to gain ground / to lose ground	gagner / perdre du terrain
to clear the ground	déblayer le terrain, déguerpir
to stand one’s ground	tenir bon
the grounds	les raisons
the grounds for divorce / for dismissal	les motifs de divorce / de licenciement
a hazard	un danger, un risque
to hazard, to venture	risquer
hazardous	dangereux
a hand	une main
a hands-off policy	une politique de non-intervention
to get out of hand	échapper au contrôle, dégénérer
to win hands down	gagner haut-la-main
a handful	une poignée
a hand-out	de l’aide
to lead a hand-to-mouth existence	vivre au jour-le-jour
to hamper, to hinder	entraver, géner
to harm, to impair	faire du tort, nuire
to do somebody harm	faire du mal à…
out of harm’s way	hors de danger
harmful	nocif
harmless	inoffensif
a head	une tête
a head of state	un chef d’état
to be head over heels in love	éperdument amoureux
the Head (pour Headmaster)	le proviseur
A headhunter	un chasseur de têtes
a heading	un titre
a headline	un gros titre
the headquarters	le siège d’une société
to keep one’s head above water	se maintenir à flot (fig.)
headlong / headfirst	tête baissée
to head, to lead	diriger, être à la tête de…
to head for / towards ...	se diriger vers ...
headway	le progrès
to take a critical stand on	avoir une approche critique
to advocate a different approach	défendre un autre point de vue
to evade a question	esquiver une question
to have an optimistic outlook on	un point de vue…
to hint at an issue	faire allusion à
to stand one’s ground	adopter une position ferme
to take a firm stand for/against	prendre fortement position pour/contre
to give someone an insight into	donner un aperçu/une idée de…
to foresee	prévoir
to bear evidence that	attester que…
to bear in mind that	garder à l’esprit
to give evidence for/against	témoigner en faveur/contre…
to play down/to minimise	minimiser l’importance de…
to stick to the facts	s’en tenir aux faits
a cogent / a convincing argument	un argument convaincant
a compelling argument	un argument incontestable
ambiguous	ambigu
a blunt statement	une affirmation brutale
a sweeping statement	une généralisation excessive
