to hinder, to hamper	gêner, entraver, faire obstacle
a hurdle	un obstacle
to implement	appliquer, mettre en œuvre
the implementation	la mise-en-œuvre, l’application
to increase	augmenter
an increase	une augmentation
to be on the increase, to be on the rise	être en augmentation
to infringe	empiéter sur
to infringe on somebody’s privacy	porter atteinte à la vie privée de quelqu’un
an infringement	une violation (d’une loi/d’un règlement)
an infringement of traffic regulation	une infraction au code de la route
to indict	inculper
an indictment	une inculpation, une mise en accusation
to induce	1. provoquer, aboutir à / 2. inciter
an inducement	une incitation, une motivation
to involve	impliquer, nécessiter
to be involved in…	être impliqué dans…
the involvement	la participation
an issue	un problème, une question
a tricky / thorny issue	une question épineuse
a divisive issue	une question qui sème la discorde
a burning issue	une question brûlante
to be at issue	être en cause
an issue of common concern	un problème qui touche tout le monde
an item	1. un article / 2. point, question
a keen sense of humour / a keen intelligence / interest	vif, vive
keen competition	une concurrence acharnée
a key	une clé
a key plank	un point central, un pilier
a keystone	une clé de voûte
a keyword	un mot-clé
to lag behind	être / rester / à la traîne
to lead	mener, conduire
to lead the way	montrer le chemin (fig.)
to lead to…	mener à…
to take the lead	prendre la tête
to follow somebody’s lead	suivre l’exemple de…
to give the lead	montrer l’exemple
to play the lead	jouer le rôle principal
to get a lead on…	avoir des informations sur…
the leadership	le leadership
land	1. la terre / 2. la campagne
to land	atterrir
to be landed with something	se retrouver avec quelque chose sur les bras
to land a job / a prize / a contract	décrocher un emploi / un prix / un contrat
a landfill	une décharge
a landfill site	un centre d’enfouissement des déchets
a landowner	un proprétaire terrien
a landmark	un point de repère, un tournant, un moment décisif
he is liable to imprisonment	il est passible de prison
to be liable for tax	être imposable
he is not liable for military service	il est exempté de…
to be held liable for…	être tenu responsable de…
liability	la responsabilité
liabilities	le passif d’une entreprise, les dettes
a line	une ligne, une file d’attente
to wait in line (am.) / to queue (up) (brit.)	faire la queue
to be on the line	être en ligne (téléphone)
to take a strong line on…	se montrer ferme…
the bottom line	l’essentiel
to fall into line	se soumettre
to toe the line	se mettre au pas
at will	à volonté
by mistake	par erreur
on average	en moyenne
on account of	à cause de
on no account	sous aucun prétexte
in the wake of…	à la suite de…
from scratch	à partir de zéro
for argument’s sake / for the sake of argument	à titre d’exemple…
in many respects / in every respect	à tout point de vue…
it is noticeable that	il est à remarquer que…
seen from that angle…	vu sous cet angle…
to set up / to establish a connection between…	établir un lien entre…
on closer consideration	si l’on y regarde de plus près / à y regarder de plus près…
it all depends on whether…	toute la question est de savoir si…
one should be aware of…	être conscient de
one should take into account	prendre en considération
to be tantamount to…	être synonyme de…
beyond the topical facts	au-delà des faits…
to make it plain that…	bien faire comprendre que…
