to proceed	continuer
the proceedings	le déroulement d’une séance
to take proceedings against someone	engager des poursuites
to qualify for	1. remplir les conditions nécessaires pour… / 2. émettre des réserves
to accept with qualifications	accepter avec des réserves
to raise	augmenter, faire monter
to raise money / to raise funds	collecter des fonds
rampant	qui sévit de manière accrue
to reckon	estimer, penser, considérer
to reckon with	compter avec
to record	enregistrer
a record	un disque, un record
a criminal record	un casier judiciaire
on the record	officiellement
off the record	fficieusement, de manière inofficielle
it is now on the record that	c’est un fait établi que…
to set the record straight	mettre les choses au clair
to recover	1. reprendre, récupérer / 2. se remettre
a recovery	une reprise
relevance	la pertinence, l’utilité, le bien-fondé
relevant	pertinent, appropié
to relieve	soulager
to be relevant to	1. être en rapport avec / 2. pertinent
to relieve the tension	diminuer la tension
relief	soulagement
humanitarian relief	des secours humanitaires
a relief operation	une opération de secours
relief agencies	des organisations humanitaires
tax relief	un allègement fiscal
to require	nécessiter
a requirement	une exigence, un besoin
the requirements of this deal	les conditions préalables, les exigences de cette transaction
research	la recherche, des recherches
to do research on / into to conduct research	mener une recherche
research and development	recherche et développement
a researcher / a research scientist	un chercheur
to rise	augmenter
a rise	une augmentation, une hausse, une poussée
to be on the rise	être à la hausse, en progrès
to give rise to	engendrer, provoquer
to rule	diriger
the ruling classes	les classes dirigeantes
to rule out	exclure
a rule	une règle
by rule of thumb	à vue de nez
a golden rule	une règle d’or
to play by the rules	respecter les règles
to bend the rules	faire une entorse au règlement
to run	courir, se précipiter
to run a company	diriger une société
to run out	le temps vient à manquer
to run short of	manquer de
runaway	galopant
a rundown	a reduction
to safeguard against	protéger contre…
a safeguard	une garantie, une sauvegarde, un garde-fou
the scale	l’ampleur, l’étendue
scales	une balance
to tip the scales in favour of… / against…	faire pencher la balance
to scale up	augmenter proportionnellement
admittedly (en début de phrase)	il faut reconnaître que…
presumably, supposedly	vraisemblablement
in a way	d’une certaine manière
somehow or other	d’une manière ou d’une autre
in the event of…	au cas où
in all likelihood	selon toute vraisemblance
since	puisque
given that	étant donné
thanks to	grâce à
owing to, due to, on account of, because of	à cause de
consequently, as a result	par conséquent
in accordance with	conformément à
in order to, so as to	afin de
so that, in order that	afin que
on the premise that	en partant du principe que…
assuming that	en supposant que…
