scarce	rare, peu abondant
scarcely	à peine
it is scarcely surprising that…	il n’est guère surprenant que…
scarcity	la rareté
a scheme	un plan, un projet
in the general scheme of things	dans l’ordre des choses
to screen	dépister, examiner
a screen	un écran
screening	le dépistage
a scrutiny	un examen approfondi
to seek	chercher/chercher à…
to seek work	chercher du travail
to seek advice	demander conseil
to seek political asylum	demander l’asile politique
to be sought-after	être très recherché
to serve	servir
if my memory serves me right…	si j’ai bonne mémoire…
(it) serves you right !	c’est bien fait pour toi !
to serve one’s time / to serve a prison sentence	purger sa peine, purger une peine de prison
to serve in the army	servir dans l'armée
public services	les services publics
the Service sector	le secteur tertiaire
to share	partager
to share out money, to dish out money	distribuer de l’argent
a share	une action (en bourse)
a shareholder	un actionnaire
a share-out	une distribution, un partage
to shed blood	verser du sang
to shed light on	éclaircir une affaire
to shed tears	verser des larmes
bloodshed	un bain de sang, une effusion de sang
to shed jobs	supprimer des emplois
to shift	déplacer, changer de place
a shift	un changement
to be on shift work/to work in shifts	travailler par équipes
to be on day / on night / shift	travailler de jour/de nuit
sight	la vue
to catch sight of…	aperçevoir
to lose sight of	perdre de vue (fig.)
at the sight of…	à la vue de…
at first sight	à première vue…
love at first sight	le coup de foudre
to have something / someone / in one’s sights	avoir quelque chose / quelqu’un dans le collimateur / avoir des vues sur…
to stake	miser, risquer
to stake one’s claim to…	revendiquer son droit à…
a stake	un enjeu
to be at stake	être en jeu
the stakes are high	l’enjeu est de taille
to have a stake in…	être concerné par
a standard	un critère
the standard of living	le niveau de vie
educational standards	le niveau scolaire
academic standards	le niveau universitaire
safety standards	des normes de sécurité
standards	des exigences
the gold standard	l’étalon-or
a staple	un produit de base, une matière première
a staple commodity	un élément de base / un article de première nécessité
the staple diet	la nourriture de base…
straight	droit
on a straight course	en ligne droite
to be straight about something	s’exprimer franchement
to play a straight game	être franc-jeu
I will come straight to the point	j’en viendrai droit au fait
a straight-out refusal	un refus catégorique
straits	une situation difficile
to be in dire straits	être dans une situation désastreuse
to be in financial straits	avoir des problèmes d’argent
a straitjacket	une camisole (aussi au sens figuré)
to streamline	restructurer (une entreprise), rationaliser (un projet)
a stride	un grand pas, une enjambée
to get into one’s stride/to hit one’s stride	trouver son rythme
to make great strides	faire de grands progrès
to take something in one’s stride	accepter sans sourciller
this put him off his stride	cela l’a déboussolé
to be caught off stride, to be caught unawares	être pris au dépourvu
a stance	une attitude, une position
a step	un pas, une mesure
to follow in somebody’s steps	marcher sur les pas de…
to fall into step	se mettre au pas, se soumettre
to step down	se désister, se retirer
stringent	sévère, strict
suddenly	immédiatement
so far, up to now up to now, hitherto	jusqu’à présent
at present, at the present time, currently	actuellement
at the outset, at the beginning	au début
from the outset, from the beginning	dès le début
at long last	enfin (pour quelque chose qui s’est fait attendre)
from now on (+ futur), in future	désormais
from then on (+ passé)	dès lors
sooner or later	tôt ou tard
fairly soon	d’ici peu de temps
lately, recently	récemment
with time/in the course of time	avec le temps…
every once in a while/from time to time	de temps à autre
most of the time/more often than not	la plupart du temps
eventually	en fin de compte
in the past	dans le passé
formerly, previously	jadis
retrospectively, looking back, with hindsight	rétrospectivement
overnight	du jour au lendemain
at once, straight away	sur-le-champ
in the short term, in the short run	à courte échéance
in the long term, in the long run	à longue échéance
in (the) future, in the near future, in the foreseeable future	dans un avenir proche/prévisible
meanwhile, in the meantime	pendant ce temps, entre temps
now and again, every now and then	de temps en temps
often	souvent
more often than not/all too often	trop souvent
every so often	de temps à autre
