to subsidize 	 subventionner
a subsidy 	 une subvention
to support a cause, a candidate 	 soutenir
to support oneself, to earn one’s living 	 gagner sa vie
to supply with 	 fournir
to teach on supply 	 faire des remplacements
supplies 	 des provisions, du ravitaillement
supply and demand 	 (rappel) l’offre et la demande
to survey 	 passer en revue, inspecter
a survey 	 une étude
a market survey 	 une étude de marché
a survey of public opinion, an opinion poll 	 un sondage d’opinion
to tackle 	 s’attaquer à
a target 	 un but, une cible, un objectif
the targets for production 	 les objectifs de production
an easy target 	 une cible facile
« Dead on target! » 	 en plein dans le mille !
to meet one’s target 	 atteindre son objectif
a target group 	 un groupe cible
a task 	 une tâche
to task somebody’s patience 	 mettre à l’épreuve la patience de quelqu’un
to take someone to task 	 prendre à partie, réprimander
a term 	 un trimestre scolaire. 
terms 	 conditions
a prison term 	 une peine de prison
in the long/short/medium term 	 à long/court/moyen terme
in terms of... 	 sous l’angle de
to be on equal terms 	 sur un pied d’égalité
to be on good/bad terms 	 être en bons/mauvais termes.
to come to terms with 	 trouver un terrain d’entente, accepter une situation déplaisante
not on any terms 	 à aucune condition
what are your terms? 	 quelles sont vos conditions ?
to threaten 	 menacer
a threatened species 	 une espèce menacée
a threat 	 une menace
a threshold 	 un seuil
The threshold level 	 le niveau seuil (fig.)
to be on the threshold of, on the brink of... 	 au bord de, au seuil de…
to cross the threshold 	 franchir le seuil
to top, to exceed 	 dépasser
to top it all 	 pour couronner le tout...
to top off 	 atteindre son niveau le plus élevé
top 	 le meilleur
a top priority 	 la priorité des priorités
top-level talks 	 des négociations au sommet
from top to bottom 	 entièrement
on top of the world 	 extremely happy
a topic 	 un sujet, un thème
topical 	 d’actualité
to go to a great deal of trouble to... 	 se donner beaucoup de mal pour…
to get into trouble 	 s’attirer des ennuis
to get out of trouble 	 se tirer d’affaire
to take the trouble to... 	 se donner la peine de...
It isn’t worth the trouble 	 le jeu n’en vaut pas la chandelle
to turn 	 tourner
to turn down 	 refuser
to turn into 	 transformer, se transformer, devenir
to turn back 	 rebrousser chemin
to turn on/off the radio 	 allumer/éteindre
to turn out 	 devenir
a turn 	 un tour, un tournant, un virage
to do somebody a good/bad turn 	 jouer un bon/un mauvais/tour à quelqu’un
by turns 	 à tour de rôle, tour à tour
a turnabout 	 une volte-face
a U-turn 	 un revirement complet
turnover 	 le chiffre d’affaires
turnout 	 la participation électorale
to weigh 	 peser
the weight 	 le poids
a heavyweight 	 un poids-lourd (sens propre et figuré)
to witness 	 assister à, être le témoin de
a witness 	 un témoin
the worth 	 la valeur
I know his worth 	 je sais ce qu’il vaut
he is worth millions 	 sa fortune s’élève à des millions
it’s worth the effort 	 ça en vaut la peine
this museum is worth a visit 	 ce musée vaut la peine d’être vu
to be worthy of 	 être digne de
a worthy cause 	 une cause louable
worthwhile 	 qui en vaut la peine/worthless
worthless 	 sans valeur
to worsen 	 empirer
to yield to temptation 	 céder à la tentation
all things considered 	 tout compte fait
on balance 	 en fin de compte
in a word, in short 	 bref
roughly speaking 	 en gros, grosso modo
to sum up 	 en résumé
to get down to the basics 	 pour en venir à l’essentiel
to be reminiscent of 	 rappeler
