to abide by 	 s’en tenir à, respecter
an ability 	 une capacité, une aptitude
Abilities 	 compétences scolaires
an abortion 	 un avortement
abroad 	 à l’étranger
to abuse 	 1. injurier. 2. maltraiter. 3. abuser
abuse 	 des injures
child abuse 	 mauvais traitements exercés sur enfants
an abused child un enfant maltraité	
sexual abuse 	 sévices sexuels
to accede, to a request 	 agréer, donner suite à une demande
to accede to office 	 entrer en fonction
access 	 l’accès
to give access to 	 donner accès à…
an access road 	 une bretelle d’autoroute
to accommodate someone 	 recevoir, loger quelqu’un
accommodation 	 logement
To get food and accommodation 	 être nourri et logé
accurate 	 juste, exact
accurately 	 exactement
the accuracy 	 l’exactitude
to achieve 	 réaliser, réussir
an achievement 	 une réussite, un exploit
to be acquainted with a situation 	 être au courant de…
to make somebody’s acquaintance 	 faire la connaissance de quelqu’un
an addict 	 un fanatique, un mordu
a drug addict 	 un drogué
an addiction to… 	 une passion extrême, une dépendance (drogue)
to be/to become/addicted to… 	 s’adonner à…
advance 	 progrès
in advance of… 	 en avance
to advertise 	 faire de la publicité
an advertisement, an ad 	 une publicité
to affect 	 1. avoir des conséquences sur, modifier / 2. concerner, affecter
to afflict 	 affecter, affliger
to be afflicted with 	 être affligé de
affluent 	 riche, aisé
the affluent society 	 la société d’abondance
affluence 	 l’abondance, la richesse
to afford 	 1. avoir les moyens d’acheter, de s’offrir / 2. fournir
an aim 	 un but
To miss one’s aim 	 manquer sa cible (fig.)
to aim at 	 viser
aimless/aimlessly 	 sans but
an alien 	 un étranger
alleged 	 présumé (de l’ordre des bruits qui courent)
all-out 	 complet, général
all-out war 	 une guerre totale
to annoy 	 agacer
to be answerable for 	 être responsable de
to anticipate 	 prévoir/se réjouir à l’avance
anxious 	 pressé de
to apologize to somebody 	 s’excuser
an apology 	 une excuse
there is no denying that 	 on ne peut nier que
ortunately enough 	 heureusement
unfortunately 	 malheureusement
frankly, honestly 	 à vrai dire
thanks to 	 grâce à
at the expense of 	 au détriment de
not least 	 en particulier
by no means 	 en aucun cas
on behalf of 	 au nom de
on the basis of 	 sur la base de, à partir de
at random 	 au hasard
on average 	 en moyenne
bar/barring 	 except 
in some respects 	 à certains égards
with respect to 	 en ce qui concerne
on account of 	 étant donné, compte tenu de, à cause de
on no account 	 à aucun prix
on second thoughts 	 à la réflexion
for want of 	 par manque de
it comes down to the same thing 	 cela revient au même
in the wake of/in the aftermath of 	 à la suite de
