blind 	 aveugle
to turn a blind eye to 	 fermer les yeux sur quelque chose
to have blind faith in… 	 avoir une confiance aveugle dans…
to lead up a blind alley 	 conduire dans une impasse (fig.)
to board 	 embarquer
a board 	 1. une planche. 2. un comité, un conseil, un organisme officiel
the board of directors 	 le conseil d’administration
a board of examiners 	 un jury d’examen
on board 	 à bord
a boarding school 	 un internat
a boarder 	 un pensionnaire
to go by the board 	 tomber à l’eau, échouer
a bomb 	 une bombe
a bomb attack 	 un attentat à la bombe
a time bomb 	 une bombe à retardement
to boom 	 prospérer, être en plein essor
a boom-bust economy 	 une économie en dents de scie
a border 	 une frontière
to border on 	 avoisiner. être proche de, friser
the bottom 	 le fond, le bas
to go bottom up, to capsize 	 se renverser
to bottom out 	 toucher son niveau le plus bas
the bottom line 	 l’essentiel
from top to bottom 	 de fond en comble
to knock the bottom out of an argument 	 démolir un argument
rock-bottom prices 	 des prix « sacrifiés »
to bracket with/to bracket together 	 assimiler à…, mettre dans le même sac
a bracket 	 1. une parenthèse / 2. une tranche
bounds 	 des limites
to be bound to… 	 1. être tenu de… / 2. être sûr de
boundless 	 illimité, sans frontières
boring 	 ennuyeux
to brace oneself for… 	 se préparer pour une épreuve
to branch out 	 étendre ses activités, se diversifier, aller vers de nouveaux débouchés
a branch 	 une succursale, une agence
a brand, a trademark 	 une marque
a brand image 	 une image de marque
branded goods 	 des produits de marque
to brand 	 marquer le bétail. Cataloguer comme… (fig.)
a breadwinner 	 un soutien de famille
a bribe 	 un pot-de-vin
bribery 	 corruption
to bring up 	 élever un enfant
the brink 	 le bord
the bulk 	 le gros de, la majeure partie de…
a burden 	 un poids, un fardeau
to back up (somebody) 	 soutenir quelqu’un
to bear out 	 confirmer, corroborer
to bear up 	 ne pas se laisser décourager
Bear up! 	 courage !
to bear upon 	 porter sur, se rapporter à, avoir trait à
to blow up 	 1. exploser. 2. gonfler
to break away 	 se détacher, se libérer
to break in 	 entrer par effraction
