to crack down on… 	 réprimer sévèrement
a crackdown 	 une répression
credit 	 crédit
to give somebody credit 	 faire crédit à…
to buy on credit 	 acheter à crédit
to give credit to… 	 ajouter foi à…, attribuer le mérite de quelque chose à quelqu’un
a cripple 	 un infirme
to cripple 	 paralyser, bloquer (fig.)
a crook 	 un escroc
crooked 	 malhonnête
a crop 	 un produit agricole, une culture
the crops 	 la récolte
to crop up 	 surgir, apparaître en grand
a crowd 	 une foule
to crowd 	 se presser, se bousculer
to crush 	 écraser
to cull (for whales, seal) 	 abattre, massacrer (baleines, phoques)
cumbersome 	 encombrant, gênant, embarrassant
cunning 	 astucieux, rusé
a cure 	 un remède
to be past cure 	 être incurable
a rest cure 	 une sinécure
a currency 	 une monnaie, une devise
to cushion 	 amortir, atténuer
a cushion 	 un coussin
a custom 	 une coutume
a custom-made suit 	 un costume sur mesure
a customer 	 un client
the customs 	 la douane
to dash 	 se précipiter
to dash hopes/expectations 	 anéantir
data 	 les données
data-processing 	 traitement des données informatiques
a database 	 une base de données
a date 	 1. une date / 2. un rendez-vous
to be up-to-date 	 être à la page
to be out-of-date être dépassé, rétro	
to daunt 	 décourager
dauntless 	 intrépide, déterminé
dauntlessly 	 sans se décourager
dawn 	 l’aurore
at the dawn of the 3rd millenium 	 à l’aube du 3e millénaire
from dawn to dusk 	 du matin au soir
to dawn 	 naître, se faire jour, venir à l’esprit (fig.)
a deadline 	 une date butoir, une date limite imposée
a deadlock 	 une impasse
deadly, lethal 	 mortel
to be on deathrow 	 dans le couloir de la mort
debatable 	 discutable
deep-rooted 	 profondément enraciné
to deliver 	 1. distribuer, remettre / 2. émettre / 3. prononcer / 4. mettre au monde
to deliver a baby 	 donner naissance
to deliver a speech 	 prononcer un discours
to deliver an opinion 	 énoncer une opinion
a delivery 	 un accouchement
to demonstrate 	 manifester
to deny 	 nier, refuser
a demonstration 	 une manifestation
a denial 	 un refus
self-denial 	 abnégation
to depend on… 	 dépendre de…
to despise 	 mépriser
to be detrimental to 	 être nuisible à
to devastate 	 dévaster/ravager
to be devastated 	 1. être dévasté / 2. être bouleversé
a device 	 un appareil
to do away with 	 supprimer, abolir
to do without 	 se passer de
to drop back 	 rester à la traîne, se laisser devancer
to drop in 	 venir à l’improviste, débarquer chez quelqu’un
to drop off 	 s’endormir
to drop out (of school) 	 abandonner ses études
to drop out of society 	 se marginaliser
to find out 	 découvrir
to fall apart 	 se désagréger
to get about 	 circuler (information, news)
to get away 	 s’échapper
to get away with 	 s’en tirer
to get back 	 récupérer/retourner
to get off 	 se tirer d’affaire, s’en tirer/être quitte pour…
to get on 	 progresser
to get on with somebody 	 s’entendre avec quelqu’un
to get over 	 récupérer, se remettre/franchir (a wall, an obstacle)
to get round someone 	 enjôler, embobiner
to get through 	 se frayer un chemin, entrer en ligne avec quelqu’un (télephone)
to get up 	 se lever (du lit)
to give away 	 donner, céder/trahir quelqu’un
to give in 	 abandonner, céder, s’avouer vaincu
to give out 	 proclamer, annoncer publiquement/distribuer
to give up 	 abandonner (studies)/to give oneself up 
to go ahead 	 continuer, avancer
to go in for 	 se mêler de (politics)
to go into 	 enquêter, faire des recherches
