to be devoid of… 	 être dépourvu de
to devolve 	 1. incomber / 2. déléguer
devolution 	 décentralisation, transfert de pouvoirs
to devote 	 consacrer
to differ 	 être différent
to differentiate 	 faire la différence
to dig 	 creuser, fouiller
To dig one’s own grave 	 creuser sa propre tombe
gold-diggers 	 les chercheurs d’or
dim 	 faible
A dim hope 	 un faible espoir
A dim memory 	 un vague souvenir
dire 	 extrême, désastreux, sinistre
To be in dire need of 	 avoir terriblement besoin de…
disarray 	 désordre, chaos
To be in disarray 	 être en pleine confusion
to fall into disarray 	 tomber dans le chaos
to discard, to get rid of 	 se débarrasser de
To discard 	 abandonner
to disclose, to unveil 	 dévoiler, divulguer, révéler
a disclosure 	 une révélation
discontent 	 mécontentement
a discrepancy 	 une différence, une divergence, un désaccord
to distrust, to mistrust 	 se méfier de
to display 	 afficher, montrer au grand jour, étaler
to dispose of 	 jeter, se débarrasser de…
disposal 	 l’enlèvement
waste disposal 	 l’enlèvement des ordures
to be at somebody’s disposal 	 être à la disposition de…
disposable 	 jetable
disquiet 	 inquiétude
disquieting 	 inquiétant
to be in disrepair, to be dilapidated 	 être délabré
To fall into disrepair 	 tomber en ruines
a disruption 	 des perturbations, du désordre
distress 	 la détresse, la douleur
distressing 	 angoissant
to ditch 	 abandonner, se débarrasser de…
a ditch 	 un fossé
a last-ditch attempt 	 une ultime tentative
to dither, to hesitate, to waver, to falter 	 hésiter
to dive 	 plonger
the dole 	 l’allocation de chômage
To be on the dole 	 être au chômage
domestic 	 1. domestique / 2. polit
GDP (gross domestic product) 	 produit intérieur brut (PIB)
to be doomed 	 être condamné
doomsday 	 le jour du Jugement Dernier, la fin du monde
the downfall 	 la chute, la perte
to downsize a company 	 restructurer, dégraisser
a downturn 	 une baisse, une récession
drastic 	 drastique, draconien
to dread 	 craindre, redouter
dreadful 	 horrible
a drought 	 une sécheresse
dull 	 ennuyeux, monotone
to go off 	 exploser/quitter, partir en voyage
to go on 	 continuer
to go out 	 sortir, disparaître, s’éteindre
to go over 	 examiner, étudier
o go through 	 examiner/endurer, souffrir
to go up 	 augmenter/exploser, s’embraser
to go without 	 se passer de
to hand out 	 distribuer
to hang about 	 traîner, ne rien faire
to head for 	 se diriger vers
to hold on (telephone) 	 rester en ligne
to hold out 	 tenir le coup
to keep away 	 éloigner, tenir éloigné
to keep back 	 retenir, arrêter
to keep down 	 réprimer, contrôler
to keep off 	 tenir à l’écart/se tenir loin de
to keep out 	 empêcher d’entrer, rester dehors
to keep up 	 maintenir (effort)
to keep up with 	 avancer à la même allure, suivre le rythme
to live on 	 survivre/vivre de
to live it up 	 mener la grande vie
to lock up 	 enfermer
to look after 	 s’occuper de, prendre soin
to look ahead 	 regarder devant soi
to look back 	 regarder en arrière, se retourner, se souvenir
to look for 	 chercher
to look down on 	 mépriser
to look out 	 faire attention
to look into 	 examiner
to look up 	 consulter
to look up to 	 respecter, admirer
to make for 	 se diriger vers
to make off 	 se sauver
to make out 	 comprendre
to make up one’s mind 	 se décider à
to make up 	 se maquiller, inventer
to make up for 	 compenser
to mix up 	 confondre
to pass away 	 mourir
to pass by 	 passer, défiler
to pass out 	 s’évanouir, perdre connaissance
