the fall-out 	 les répercussions, les résultats
radioactive fall-out 	 les retombées radioactives
to falter, to hesitate, to waver 	 hésiter, chanceler, faiblir
faltering steps 	 des pas hésitants
a faltering voice 	 une voix tremblante
farming 	 l’agriculture
a farmer 	 un agriculteur
farmland 	 les terres arables, cultivables
a fashion 	 1. une manière / 2. une mode
fashionable 	 à la mode
fate 	 le destin
a feature 	 un trait caractéristique
to feature 	 faire figurer, mettre en vedette
to fight 	 se battre, combattre
a fight 	 une lutte
fighting 	 des combats
a figure 	 1. un chiffre / 2. une silhouette
in round figures 	 en chiffres ronds
to figure out 	 arriver à comprendre
to fire 	 licencier, renvoyer.
to fit 	 équiper
to fit in/into 	 s’intégrer, s’insérer dans…
a fit 	 une crise, un accès
to be in fits 	 se tordre de rire
in fits and starts 	 par à-coups
a flaw 	 un défaut, une imperfection
flawless 	 parfait, sans défaut
to flee 	 fuir
a flight 	 une fuite
to take to flight 	 prendre la fuite
a flight of capital abroad 	 une fuite de capitaux à l’étranger
a flight 	 un vol
a flight of stairs 	 un escalier
a flood 	 une inondation, un déferlement
to flood 	 1. inonder / 2. envahir
to flood the market 	 inonder le marché
to flourish, to boom, to thrive 	 être en plein essor
to flout a rule 	 passer outre, se moquer de, ne pas respecter
to follow 	 suivre
To follow somebody’s advice 	 suivre les conseils de quelqu’un
to follow suit 	 faire de même
to fool 	 duper
a fool, an idiot 	 un imbécile
footing 	 une position, une prise
to be on an equal footing 	 être sur un pied d’égalité
to be on a friendly footing 	 être en bons termes
the fore 	 l’avant
to come to the fore 	 se faire remarquer, se manifester
foremost 	 éminent, de premier plan
a forename 	 un prénom
foresight 	 perspicacité, prévoyance
to forestall 	 1. devancer / 2. anticiper
to forge 	 contrefaire, faire un faux
a forger 	 un faussaire
forgery 	 contrefaçon
fortune 	 fortune, chance
by good fortune/fortunately 	 par chance, heureusement
fortunate 	 chanceux
friendly 	 sympathique
User-friendly 	 facile d’emploi
Environment-friendly 	 non-polluant
a fringe 	 une marge, une périphérie
a fringe group 	 un groupe marginal
fringe benefits, perks 	 des avantages divers
to fuel 	 attiser
to further 	 faire avancer, favoriser
to ring up 	 téléphoner
to round up (police) 	 faire une rafle
A round-up 	 une rafle
to rub out 	 effacer (à l’aide d’une gomme)
to rule out (a possibility) 	 exclure
to run after 	 poursuivre
to run down 	 dire du mal, médire
to be run down 	 être épuisé
to run into 	 tamponner, heurter
to run into (across) someone 	 rencontrer par hasard
to run out of 	 être à court de
to run over 	 renverser, écraser
to run up 	 augmenter, accumuler, s’accumuler
to run up debts 	 s’endetter
to run up against 	 rencontrer
to see someone in 	 faire entrer quelqu’un
to see someone off 	 accompagner quelqu’un
to see through someone 	 ne pas se laisser duper par…
to see to 	 veiller à ce que
to set about 	 entreprendre, se mettre à
to set aside 	 mettre en réserve, mettre de côté
to set back 	 retarder
to set down 	 poser déposer/noter
to set forth 	 exposer, faire connaître
to set in 	 surgir, se déclarer
to set off/out 	 se mettre en route
