fuss 	 agitation, bruit
To make a fuss 	 faire des histoires, faire tout un cinéma
to kick up a fuss 	 protester, faire des histoires
to gamble 	 jouer
a gamble 	 une entreprise risquée, un pari
a gap 	 un fossé, un écart, un abîme
garbage 	 les ordures
a garbage can, a dust bin 	 une poubelle
to gather 	 1. se rassembler / 2. réunir / 3. comprendre
a gathering 	 un rassemblement
to gauge 	 mesurer, jauger
gender 	 le sexe
a gender-bias 	 un parti pris sexiste
a gender-balanced labour-market 	 un marché du travail qui atteint un équilibre hommes-femmes
to generate 	 susciter, générer
genetic engineering/manipulations 	 génie génétique, manipulations génétiques
a gift 	 un don, un cadeau
A gifted child 	 un enfant surdoué
to get rid of 	 se débarrasser
good riddance! 	 bon débarras !
ghastly 	 horrible, affreux
to give rise to 	 engendrer, provoquer
a glimmer 	 une lueur
a glimpse 	 un aperçu
to catch a glimpse of… 	 entrevoir
globalisation 	 mondialisation
a goal 	 un but, une finalité
To set a goal 	 fixer un but
goodwill, helpful attitude 	 de la bonne volonté
man of goodwill 	 un homme de bonne volonté
to show goodwill to/towards 	 faire preuve de bienveillance
golden 	 doré
goods 	 marchandises, articles
consumer goods 	 biens de consommation
to grab 	 saisir
grade 	 1. qualité / 2. échelon
to make the grade 	 se montrer à la hauteur, y arriver
to get good grades 	 avoir de bonnes notes
a graduate 	 un diplômé de l’enseignement supérieur
to graduate 	 obtenir un diplôme universitaire
graduation day/graduation ceremony 	 cérémonie de la remise des diplômes
greenhouse gases 	 les gaz à effet de serre
the greenhouse effect 	 l’effet de serre
to greet, to welcome 	 saluer, accueillir
gross 	 énorme
a guest 	 un invité
a guestworker 	 un travailleur immigré
the guidelines 	 les lignes directrices, les directives
guilty 	 coupable
a gutter 	 un caniveau
the gutter press 	 la presse à scandale, la presse à sensation
guts 	 tripes, intestins. courage (fig.)
a habit 	 une habitude
to hamstring 	 paralyser, entraver
to handpick 	 choisir avec soin, sélectionner, trier sur le volet
to set up 	 s’établir/placer, installer/fonder
to show through 	 transparaître, se voir au travers
to show off 	 crâner, faire le malin, frimer
to sit about (around) 	 rester assis à ne rien faire
to sit back 	 se caler dans un fauteuil
to sit up 	 se redresser, s’assoir droit sur sa chaise
to speak up 	 parler haut
to stand by 	 se tenir prêt
to stand up to 	 résister
to stand out 	 ressortir, sauter aux yeux
to be taken aback 	 être décontenancé, déconcerté
to take after 	 ressembler à
to take down 	 prendre des notes
to take for 	 prendre pour, confondre
to take in 	 duper/comprendre, se rendre compte
to take off 	 enlever un vêtement/décoller
to take on 	 se charger de, entreprendre / assumer / accepter un défi
to take out 	 enlever, extraire/sortir quelqu’un
to take over 	 prendre la suite, prendre le relai/prendre le pouvoir
to take to 	 s’adonner/éprouver de la sympathie pour
to take up 	 se mettre à, s’adonner à
to talk back 	 répondre avec insolence
to talk over 	 discuter de, débattre
to tell off 	 réprimander, gronder
to throw away 	 jeter, gaspiller
