to inflict 	 infliger
the influential 	 les puissants
an influx, an inflow 	 un afflux
to inquire 	 se renseigner, s’informer
an inquiry 	 une demande de renseignements, une enquête
an inroad 	 une incursion
an instance 	 un exemple
in the present instance 	 en l’occurrence
a serious instance of sleaze 	 un cas sérieux de corruption
an insurance 	 une assurance
life-insurance 	 une assurance-vie
to intend 	 avoir l’intention
he intended no harm 	 il l’a fait sans mauvaise intention
the intended victim of the bomb attack 	 la victime visée par l’attentat
an intent 	 une intention
with good intent 	 dans une bonne intention
to be intent on 	 être absorbé par…/être décidé à
to interfere 	 s’ingérer, se mêler de…
interference 	 ingérence
intricacy 	 la complexité
intricate 	 compliqué
a jail 	 une prison
to jail somebody for… 	 mettre en prison
to jeopardize 	 mettre en danger, menacer
to be in jeopardy 	 être en danger
the jobless 	 les chômeurs
joblessness 	 le chômage
a joke 	 une blague, une plaisanterie
to joke 	 plaisanter, blaguer
a jump 	 un bond
to jump 	 bondir
to jump at an offer 	 sauter sur une offre
to jump to conclusions 	 tirer des conclusions hâtives
junk 	 de la camelote, des objets sans valeur, du kitsch
a junk heap/a junk yard 	 une décharge
Junk food 	 de la nourriture de mauvaise qualité
a junkie 	 un drogué
a knock-on effect 	 une répercussion immédiate
the know-how 	 le savoir-faire
to lack 	 manquer de…
a lapse 	 une défaillance
a lapse of memory 	 un trou de mémoire
lapses of judgement 	 des erreurs de jugement
a lapse of time 	 un laps de temps
large-scale 	 de grande ampleur
to last 	 durer
to launch 	 lancer
to launder (money) 	 blanchir de l’argent
money laundering 	 le blanchiment d’argent
a lawyer 	 un avocat
a layman 	 un profane, un débutant, un non-initié
a lay-off 	 un licenciement
to lay off 	 licencier/mettre au chômage technique
to leak 	 1. fuir / 2. divulguer
a leak 	 une fuite
to leap 	 faire un bond
leave 	 un congé
To take French leave 	 filer à l’anglaise
to lend 	 prêter
a student loan 	 un prêt étudiant
a loan 	 un prêt
to lessen 	 diminuer
lethal 	 mortel
leeway 	 liberté d’action
a level 	 un niveau
to level off/out 	 se stabiliser
it is abundantly clear that 	 il est tout à fait clair que…
to beat hollow 	 battre à plates coutures
a bold decision 	 … courageuse
once in a blue moon 	 tous les trente six du mois
to feel blue 	 avoir le cafard
a blue joke 	 une blague salée
a blueprint 	 un avant-projet
brand new 	 flambant neuf
a burning issue 	 un sujet brûlant
… of cardinal significance 	 de portée capitale
