to merge 	 fusionner
a merger 	 une fusion
to mete out justice, to mete out punishment 	 rendre la justice, infliger une punition
to mince words 	 mâcher ses mots
he didn’t mince his words 	 il n’y est pas allé par quatre chemins
mindful 	 soucieux de
mindless 	 idiot, stupide
minute 	 minuscule
a miscarriage 	 une fausse couche
a miscarriage of justice 	 une erreur judiciaire
misgivings 	 des inquiétudes, des doutes
a misdemeanour 	 un acte délictueux, un écart de conduite
the mob 	 la foule, le peuple
a mobster 	 un truand, un gangster
mock 	 simulé, feint
a mock exam 	 un examen blanc
momentum 	 élan, du punch
to gather momentum 	 gagner du terrain
Momentous 	 capital
to monitor 	 surveiller, contrôler
mood 	 humeur, ambiance
a motorway, a highway 	 une autoroute
to muddle through 	 se débrouiller tant bien que mal
a muddle 	 une pagaille, une confusion
muddled 	 confus
a mugging 	 agression
a mugger 	 un agresseur
to mushroom 	 pousser comme un champignon
a mushroom-town 	 une ville-champignon
narrow 	 étroit
in the narrow sense of the word 	 au sens étroit du mot
to have a narrow escape 	 l’échapper belle
a national 	 un ressortissant
a native English speaker 	 un anglophone
the natives 	 les indigènes, les autochtones
neighbourhood 	 le voisinage, le quartier
a network 	 un réseau
a nightmare 	 un cauchemar
nonsense 	 des bêtises, des âneries, des absurdités
to nosedive, to plunge, to plummet 	 plonger, s’effondrer, descendre en flêche
a nuke 	 une arme nucléaire
an oath 	 un serment
to declare something on oath/under oath 	 sous serment
oblivion 	 l’oubli
obsolete 	 obsolète
the odds 	 les chances
the odds are against him 	 il est peu probable qu’il réussisse
the odds of his winning the election are slim 	 il n’a que de minces chances de gagner…
the odds-on favourite 	 le grand favori des parieurs
to be at odds 	 être en conflit, être en porte-à-faux
odd 	 bizarre
an odd number 	 un nombre impair 
an even number 	 un nombre pair
to be the odd man out 	 faire bande à part
odd jobs 	 des petits boulots
forty-odd 	 quarante et quelque
an offence 	 un délit
an offender 	 un délinquant, un contrevenant
an office 	 1. un bureau / 2. une fonction
to be in office / to hold office 	 être en fonction, être au gouvernement
to take office 	 prendre ses fonctions
an official 	 un responsable
a high-ranking official 	 un responsable de haut rang
to offset 	 compenser
oil 	 le pétrole
an oil well 	 un puits de pétrole
an oil slick 	 une nappe de pétrole
an oil spill 	 une marée noire
one-sided 	 partial, partisan
ongoing 	 qui dure, qui persiste
far-reaching consequences 	 des conséquences d’une grande portée
it’s a far cry from 	 c’est loin de…
the far-right/the far left 	 l’extrême droite/gauche
far-fetched 	 tiré par les cheveux
a far-seeing person 	 clairvoyant, prévoyant
far-sighted 	 1. hypermétrope, presbyte. 2. clairvoyant
fast asleep 	 profondément endormi
to stand fast 	 tenir bon
the fast lane of the motorway 	 la voie de gauche (ou de droite au Royaume-Uni…)
a fatal blow 	 un coup fatal
a foregone conclusion 	 une issue prévisible
a going concern 	 une affaire florissante
a golden handshake 	 une prime de départ
a golden hello 	 une prime d’embauche
the golden age 	 l’âge d’or
the golden mean/the happy medium 	 le juste milieu
a golden boy 	 un jeune loup de Wall Street
to kill the golden goose 	 … la poule aux oeufs d’or
a growing decline 	 une baisse croissante
growing discontent 	 un mécontentement croissant
a hackneyed subject 	 rebattu
a hackneyed expression 	 un cliché
the happy few 	 les rares privilégiés
a heavy blow 	 un coup dur
heavy casualties 	 de nombreuses victimes
to have a heavy heart 	 avoir le cœur gros
heavy traffic 	 un trafic dense
high on the agenda 	 une priorité à l’ordre du jour
a hot spot 	 un point chaud, une zone sensible
a hot war 	 une guerre ouverte
a hot favourite 	 un grand favori
the odds-on favourite 	 le grand favori
hot news 	 des nouvelles de dernière heure
hot air 	 du blablabla
a hot potato 	 un sujet brûlant
in hot pursuit 	 à ses talons
an increasing rise 	 une augmentation croissante
