a pioneer 	 un pionnier
to pioneer, to spearhead 	 être à l’avant-garde de
a pit 	 une mine
a pitfall 	 une trappe, un piège
a plague, a scourge 	 un fléau
to be plagued by 	 être tourmenté par…
a plan 	 un projet
planning 	 planification
family planning 	 le contrôle des naissances, le planning familial
town planning 	 l’urbanisme
a town planner 	 un urbaniste
a plant 	 une usine
a nuclear plant 	 une centrale nucléaire
to plead for/against 	 plaider pour/contre…
to plead for mercy 	 implorer la clémence
to plead guilty/not guilty 	 plaider coupable/non coupable
to pledge 	 s’engager solennellement
a pledge 	 une promesse solennelle
a plight 	 une situation critique
to plummet 	 descendre en flèche
to plunder, to loot 	 piller
to point out 	 faire ressortir, souligner
Beside the point 	 à côté de la plaque
pointless 	 inutile
point-blank 	 catégorique
to recover one’s poise 	 retrouver son sang-froid. 
to lack poise 	 manquer d’assurance
to be poised for 	 être prêt à…
policy 	 une politique
Foreign policy 	 politique étrangère
Domestic policy 	 politique intérieure
to carry out a policy 	 mener une politique.
politics 	 la politique
a politician	 un politicien
a poll 	 un sondage
to ponder on/over, to consider 	 méditer, réfléchir
to postpone, to delay 	 remettre à plus tard, reporter
power 	 le pouvoir
a power game 	 une lutte pour le pouvoir
a power station 	 une centale électrique
a power failure 	 une panne de courant
powerful 	 puissant
prejudice 	 un préjugé
pressure 	 la pression
to pretend 	 faire semblant
pride 	 la fierté, l’orgueil
to take pride in… 	 être fier de
prime 	 primordial
prime time 	 les heures de grande écoute
to be in the prime of life/to be in one’s prime 	 être à la fleur de l’âge
privacy 	 la vie privée, l’intimité
proud 	 fier, orgueilleux
profit 	 des bénéfices
Windfall profits 	 des bénéfices inattendus
to profiteer 	 faire des bénéfices illicites
to prompt 	 inciter, pousser quelqu’un
prone to, to be prone to… 	 être enclin à
to propagate 	 propager
property 	 l’immobilier, les biens immobiliers.
a property developer 	 un promoteur
a proponent 	 un défenseur, un partisan de…
to prosecute 	 poursuivre en justice
prosecution 	 une action en justice
a prospect 	 une perspective
protest 	 une manifestation
a protester 	 un manifestant
to provide 	 fournir
to provide for 	 subvenir aux besoins de…
a punishment 	 une peine, une sanction
Capital punishment 	 la peine capitale
to purchase 	 acheter
a purchase 	 un achat
Purchasing power 	 le pouvoir d’achat
purpose 	 le but
to do something on purpose 	 exprès
to pursue 	 poursuivre
to pursue a career 	 poursuivre une carrière
a pursuit 	 1. recherche. 2. poursuite
to put up with 	 supporter, tolérer
odd jobs 	 des petits boulots
an odd-jobber 	 un homme à tout faire
at odd times 	 de temps à autre
an oddball 	 un excentrique
an overwhelming majority 	 une majorité écrasante
a pat answer 	 … du tac au tac
a pat explanation/remark 	 toute prête, toute faite
plain talk, plain language, plain words 	 propos sans équivoque
a plain answer 	 une réponse claire
the plain truth 	 la vérité vraie
a prevailing concern 	 un souci constant
a prime example 	 un exemple type
a prime concern 	 un problème primordial
of prime quality 	 de première qualité
to be in prime condition 	 en excellente condition
print journalism 	 la presse écrite
a red herring 	 un mauvais prétexte
a rule of thumb 	 une règle générale
by rule of thumb 	 à vue de nez
a safe haven 	 un refuge
a safe bet 	 un bon choix
a safe area 	 une zone de sécurité
a seasoned politician 	 un politicien chevronné
a senior executive 	 un cadre supérieur
a senior official 	 haut responsable
seriously injured 	 gravement blessé
slightly injured 	 légèrement blessé
a severe winter 	 un hiver rude
a mild winter 	 un hiver doux
a sharp rise/a sharp fall 	 une forte augmentation/chute
to be in short supply 	 être rare…
a side effect 	 un effet secondaire
a significant change/a significant step… 	 un changement, un pas important
a slender income 	 un revenu modeste
slender means 	 de maigres ressources
a slight variation 	 une variation faible
slim evidence 	 preuves insuffisantes
