to respond 	 réagir
a response 	 une réaction
to resume 	 reprendre
resumption 	 la reprise
retail trade 	 le commerce de détail
wholesale trade 	 le commerce en gros
a retailer 	 un détaillant
to retaliate 	 exercer des représailles
retaliation 	 des représailles, une riposte, une vengeance
to retire 	 prendre sa retraite
retirement 	 la retraite
a return 	 un rendement, un rapport, un retour sur investissement
a reward 	 une récompense
an award 	 un prix littéraire, cinématographique…
to be rife 	 sévir
a city rife with violence 	 une ville où règne la violence
a right 	 un droit
Civil rights 	 les droits civiques
human rights 	 les droits de l’homme
the right wing 	 la droite
a riot 	 une émeute
a rioter 	 un émeutier
riot police 	 la police anti-émeutes
ripe 	 mûr
to be ripe for 	 être prêt pour
The time is ripe for a new start 	 le moment est venu de recommencer à zéro
to rise 	 augmenter, se lever
a rise 	 une augmentation, une hausse, une poussée
a high-rise block of flats 	 une tour (immeuble)
room 	 de la place
There is room for manœuvre 	 une marge de manœuvre (fig.)
roots 	 des racines
rough 	 1. rugueux. 2. rudimentaire, grossier
a rough copy 	 un brouillon
a rough guess 	 une approximation
a row 	 une querelle, une polémique
rubbish 	 des ordures
to rush 	 se précipiter
ruthlessness 	 la cruauté, le côté impitoyable
ruthless 	 sans pitié
a sacking 	 un licenciement
To be given the sack 	 se faire virer
safety 	 la sécurité
road safety 	 la sécurité routière
safe 	 sûr, sans danger, hors de danger
To play safe 	 ne pas prendre de risques
safe and sound 	 sain et sauf
a safe 	 un coffre-fort
sales 	 les ventes/les soldes
a salesman/a sales assistant 	 un vendeur
a sample 	 un échantillon
a sanction 	 1. une approbation / 2. sanction
savage 	 violent, brutal
to save 	 sauver
to save money 	 épargner
a savings bank 	 une caisse d’épargne
scant 	 insuffisant, maigre
In a scant two months 	 dans deux mois à peine
a scanty income 	 de maigres revenus
a scapegoat 	 un bouc émissaire
to scare 	 faire peur
to be scared to death 	 être mort de peur
a scarecrow 	 un épouvantail
a bomb scare 	 une alerte à la bombe
scare tactics 	 de l’intimidation
scary 	 qui fait peur
a schedule 	 emploi du temps, plan
a scholarship 	 une bourse d’études
a scientist 	 un scientifique
the scope 	 l’étendue, le champ d’action
a score 	 une vingtaine
to be back from the brink 	 revenir de loin
to be a credit to, a discredit to 	 faire honneur, déshonneur à
to be in deep water 	 faire de mauvaises affaires, être en difficulté
to be a disgrace to 	 faire honte à
to be in a (blue) funk 	 avoir la trouille
to be at issue 	 être en cause
to be (in) a mess/to be (in) a shambles 	 être en désordre
to be in a rage 	 être en colère
to be a shame, a pity 	 c’est dommage
to be in a sweat 	 transpirer
to be in a scrape 	 être dans une situation difficile
to be a thorn in someone’s side 	 être la bête noire de quelqu’un
to be in the pipeline 	 être en cours, être en route
to be on tenterhooks 	 être sur des charbons ardents
to bear witness 	 témoigner
to bear evidence 	 prouver que
to bear a grudge against somebody 	 en vouloir à quelqu’un
to bear comparison 	 supporter la comparaison
to bear responsibility for 	 porter la responsabilité de…
to break a promise/to break one’s word 	 manquer à sa parole
to break a habit 	 se défaire d’une habitude
to break the law 	 violer la loi
to break somebody’s heart 	 briser le cœur de quelqu’un
to break free from 	 se libérer de
to bridge a gap 	 combler un fossé
to call into question 	 remettre en question
to call to mind 	 rappeler/se rappeler
to cry for justice 	 demander justice
to cry for help 	 appeler à l’aide
to cry for mercy 	 implorer la miséricorde
