to scorn 	 mépriser
scornful 	 méprisant.
a scourge, a plague 	 un fléau, une plaie
to scrape 	 gratter, râcler
to scrape through 	 s’en sortir de justesse
to scrape up money 	 trouver de l’argent en râclant les fonds de tiroirs
a scrape 	 to be in a scrape 
to get oneself into a scrape 	 s’attirer des ennuis
a scratch 	 une égratignure
to start from scratch 	 partir de zéro
He didn’t come up to scratch 	 il ne s’est pas montré à la hauteur
to scratch out 	 rayer, barrer
to search for 	 chercher, fouiller
a search 	 des recherches
a seat 	 un siège
a second home 	 une résidence secondaire
to secure 	 obtenir
to secure against 	 se protéger
security 	 sécurité
secure 	 sûr, solide
to seize	 saisir
to seize the opportunity to do something 	 sauter sur l’occasion…
a seizure 	 une capture, une saisie
self-assured/self-confident 	 sûr de soi
self-centered 	 égocentrique
self-conscious 	 timide, intimidé
self-evident/self explanatory 	 évident
self-governing 	 autonome
self-reliant/self-supporting 	 autonome
senior citizens 	 les personnes du troisième âge
a senior executive 	 un cadre supérieur
sensible 	 raisonnable
sensitive 	 sensible, épineux
a series 	 une série
to set aside 	 mettre de côté
a setback 	 un revers
to suffer a setback 	 subir un revers
to set up 	 créer, mettre en place
to settle 	 s’installer, s’établir
a settlement 	 un accord, une solution, un règlement
to sever 	 couper, interrompre
to shake 	 secouer
to shake hands 	 se serrer la main. 
a handshake 	 une poignée de mains
to shake oneself 	 se secouer
shame 	 la honte
to bring shame on somebody 	 faire honte à…
shame on you! 	 c’est honteux de votre part !
it is a shame 	 c’est dommage !
shameful 	 honteux
shameless 	 éhonté
a shantytown 	 un bidonville
to shatter 	 briser, voler en éclats
to shatter into smithereens 	 casser en mille morceaux
to be shattered 	 être bouleversé
sheer 	 pur, véritable, simple
a sheer lie 	 un pur mensonge
to shelter 	 abriter
a shelter 	 un abri
to shine 	 briller
he is a shining example of… un exemple remarquable	
to ship 	 transporter
a shipment 	 une cargaison
to shoot up, to soar 	 monter en flèche
a shop 	 un magasin, une boutique
to go shopping 	 faire des courses
a shopping spree 	 une fièvre d’achats
a shopkeeper 	 un commerçant
a shop-window 	 une vitrine
shoplifting 	 vol à l’étalage
a shopaholic 	 un (une) accro du shopping
a shortage 	 une pénurie
the shoulders 	 les épaules
to have broad shoulders 	 avoir les reins solides
to stand shoulder to shoulder 	 se tenir les coudes
to put one’s shoulder to the wheel 	 s’atteler à la tâche
a show 	 un spectacle
a show of force 	 une démonstration de force
a showdown 	 une épreuve de force, un bras de fer
to shrink 	 rétrécir, diminuer
to cook the books 	 truquer les comptes
to cover a distance 	 franchir une distance
to do business 	 faire des affaires
to do one’s best 	 faire de son mieux
to draw to a close 	 tirer vers sa fin
to draw up 	 élaborer
to encounter an obstacle, difficulties 	 rencontrer
to escape by the skin of one’s teeth 	 l’échapper belle
to fish for compliments 	 chercher des compliments
to fish in troubled waters 	 pêcher en eau trouble
to fish for information 	 aller à la pêche aux informations
to foster/to further 	 encourager
to gain control of 	 prendre le contrôle de…
to gain ground 	 gagner du terrain, progresser
to get into a scrape 	 s’attirer des ennuis
to get away with 	 s’en tirer à bon compte
to get used to 	 s’habituer à
to get along with 	 s’entendre avec
to get one’s act together 	 se reprendre en main, reprendre le dessus
to get out of hand 	 échapper à tout contrôle
to get rid of 	 se débarraser de
to get the better of 	 l’emporter sur
to give somebody a telling-off 	 gronder, réprimander
to give someone a rough ride 	 ne pas ménager…
to give someone a leg-up 	 faire la courte échelle. donner un coup de pouce (fig.)
to give a beating, a thrashing 	 flanquer une râclée
to give a wink 	 faire un clin d’œil
