a shutdown 	 une fermeture définitive
a shuttle 	 une navette spatiale
to side with/against 	 prendre parti pour/contre… se ranger à l’avis de…
to sigh 	 soupirer
to sigh over something	 regretter, se lamenter
to single out 	 sélectionner, choisir
single 	 célibataire
a single parent	 père/mère célibataire
a single-parent family 	 monoparentale
a single ticket	 un aller simple
a return ticket	 aller-retour
sizeable 	 considérable
to sketch 	 faire une esquisse
to sketch out a plan	 esquisser… (fig.)
a rough sketch 	 une ébauche
a skill 	 une compétence, un savoir-faire
a skilled worker 	 ouvrier qualifié
a skyscraper 	 un gratte-ciel
to skyrocket 	 monter en flèche
a slap in the face 	 une gifle
to slash 	 réduire brutalement
to slash jobs 	 avoir recours à des licenciements massifs
to slaughter 	 abattre un animal, massacrer
a slaughter, a bloodbath	 un carnage
sleaze 	 la corruption, la sordidité
a slice 	 une tranche
slight 	 léger, petit
a slip 	 un dérapage
a slip of the tongue	 un lapsus
I haven’t the slightest idea 	 je n’en ai pas la moindre idée
sluggish 	 lent, mou
a slug 	 une limace
a slum 	 un taudis
the slums 	 les quartiers pauvres
to slump, to plummet 	 tomber brutalement, chuter
a slump 	 une forte récession, une crise
to smash 	 casser, briser
to smash a record 	 pulvériser un record (fig.)
to smash to smithereens 	 casser en mille morceaux
a smash 	 un effondrement, une débâcle, un krach
smooth 	 lisse, doux
to run smoothly 	 bien fonctionner
to smuggle	 passer en fraude, faire du traffic
a snag 	 un inconvénient
a smuggler 	 un trafiquant
to soar 	 monter en flèche
soft 	 mou, doux
to have a soft spot for something/someone… 	 avoir un faible pour…
to take a soft line on something 	 adopter une ligne modérée
to softpedal 	 mettre la sourdine. ne pas trop insister (fig.)
to soften a blow (to cushion) 	 amortir un choc
to soothe 	 calmer
sought-after 	 recherché
a soul 	 une âme
a sound business 	 une affaire solide
space 	 espace, place
to spare time 	1. gagner du temps. 2. consacrer du temps
he spares no effort 	 aucun effort n’est de trop pour lui
to spare somebody’s life 	 sauver la vie de quelqu’un
the spare room 	 la chambre d’amis
a span of time 	 une durée
to spark off 	 déclencher
a spark 	 une étincelle
to spearhead 	 être le fer de lance, être à la pointe de
a species 	 une espèce
the specifics 	 les détails spécifiques, les précisions
to speed up 	 accélérer
speed 	 la vitesse
to spell 	 épeler
spelling 	 l’orthographe
a spell 	 1. un laps de temps, une période, 2. un sortilège
for a short spell 	 pendant une courte période
to cast a spell over somebody 	 envoûter
to be/to fall under the spell of 	 être envoûté par…
to go haywire 	 perdre la tête. (pour un objet, se détraquer)
to go to great lengths / to great pains 	 ne pas ménager ses efforts, se donner du mal
to go wrong 	 se tromper
to go unnoticed 	 passer inaperçu
to go easy on… 	 ne pas forcer sur…
to grant 	 accorder 
to have a look 	 jeter un coup d’œil
to have a rest 	 se reposer
to have a try 	 essayer
to have a go 	 faire une tentative
to have a say 	 avoir son mot à dire. 
to hit record levels 	 atteindre des niveaux records
to hit the road 	 prendre la route
to keep tabs on 	 garder à l’œil, tenir un œil sur
to keep mum 	 ne pas souffler mot
to keep a firm stance on / against 	 garder une attitude ferme
to keep something in the dark 	 garder secret
to keep someone in the dark 	 laisser dans l’ignorance
to land a blow 	 infliger, porter un coup
to land a job 	 décrocher un travail
to launch (lancer) 	 a campaign, a missile, a new product, a slogan
to lay the blame on 	 rejeter la responsabilité sur
to lay stress/emphasis on 	 mettre l’accent sur
to lead up a blind alley/to lead to stalemate 	 ne mener à rien, mener à une impasse
to lead someone up the garden path 	 mener quelqu’un en bateau
to make headway 	 progresser
to make a fuss 	 faire des histoires
to make a case for…/against 	 trouver des arguments en faveur/contre…
to make sure that 	 s’assurer que…
to make money/to make a fortune 	 se faire de l’argent
to make it 	 réussir
to meet standards 	 être conforme à des normes.
to meet expectations 	 répondre aux attentes
to miss the boat/to miss the cue 	 manquer le coche, rater l’occasion
to miss the point 	 ne rien comprendre
