to spend 	 dépenser
spending 	 les dépenses
a spendthrift 	 quelqu’un de dépensier
to go on a spending spree 	 avoir une frénésie d’achats
to split up 	 se séparer, se diviser
to spoil 	 abîmer, gâter
to be spoilt for choice 	 avoir l’embarras du choix
a spokesman 	 un porte-parole
to spotlight 	 mettre en relief
to spread 	 se répandre
a spy 	 un espion
squalor 	 des conditions sordides
to squander 	 gaspiller
staff 	 le personnel
a stage 	1. une scène, 2. un stade, une étape
the world stage 	 la scène internationale
a stain 	 une tache
to stain 	 maculer, entaché
stalemate, a deadlock 	 une impasse
a stamp 	 un timbre / une empreinte
to stamp out 	 venir à bout, éradiquer, enrayer, juguler
to stand 	 supporter
to stand for… 	 signifier
a standpoint 	 un point de vue
a standstill 	 un arrêt
stark 	 absolu, pur
to starve 	 mourir de faim
starvation 	 la famine
to state 	 affirmer
state-of-the-art 	 dernier-cri, à la pointe du progrès
status 	 le statut, la position
steadfast, unshakable 	 inébranlable
steady 	 régulier
to stem 	 endiguer, contenir
to stem from 	 provenir de, émaner
to stick to 	 tenir à
to stick to the facts 	 s’en tenir aux faits
to stifle 	 étouffer
to stir 	 remuer, agiter
to stir up anger / trouble / a revolt 	 provoquer, susciter
to stomach, to bear, to endure 	 supporter
a storm 	 une tempête
strain, stress 	 une tension
to be under strain 	 être sous tension
strength 	 la force
to strengthen 	 fortifier, améliorer consolider
strenuous 	 ardu, fatigant
to stress 	 insister sur, souligner
strife 	 des tensions, des dissensions
industrial strife 	 des conflits sociaux
to strive to… 	 s’efforcer de…
a stronghold 	 un bastion
to pave the way for… 	 ouvrir la voie à…
to pay attention 	 faire attention
to pay a visit 	 rendre visite
to pay a compliment 	 faire un compliment
to part company with someone 	 se séparer de quelqu’un
to plant a bomb 	 poser une bombe
to put pressure on 	 faire pression sur
to put into practise 	 mettre en pratique
to put at risk 	 mettre en danger
to put an end to 	 mettre fin à…
to pursue a goal 	 poursuivre un but
to pursue happiness 	 rechercher le bonheur
to raise a question, a problem, a controversy, an issue 	 soulever
to raise prices, salaries, the standard of living 	 augmenter
to run into trouble 	 s’attirer des ennuis
to run a risk 	 courir un risque
to run short of… 	 venir à manquer de…
to run for president 	 être candidat à la présidence
to run amok 	 être pris de folie furieuse
to reap the benefits of 	 récolter les bénéfices/avantages de…
to score a success 	 remporter un succès
to set a goal 	 fixer un but
to set a good example 	 donner le bon exemple
to set a record 	 établir un record
to set something going / to set in train 	 mettre quelque chose en marche
to set something on fire 	 mettre le feu à…
to set a trap for somebody 	 tendre un piège à…
to set free 	 libérer
to set one’s mind on doing something 	 se mettre en tête de
to shake convictions 	 ébranler des certitudes
to split hairs 	 couper les cheveux en quatre
to spread like wildfire 	 se répandre comme une traînée de poudre
to stand one’s ground 	 tenir bon, rester sur ses positions
to strike a deal 	 conclure un accord
to strike a bargain 	 conclure un marché
to strike the first blow 	 frapper le premier
to strike a light 	 allumer une allumette
to strike a balance 	 trouver un équilibre
to strike lucky 	 avoir de la chance
to tackle a problem, a task, a difficulty 	 s’attaquer à…
to take action against/in favour of… 	 agir, prendre des mesures
to take a beating 	 passer un mauvais quart d’heure
to take a course 	 suivre un cours
to support a policy, a candidate, an idea 	 défendre
to take an exam 	 passer un examen
to pass an exam 	 réussir
to take a walk 	 faire une promenade
to take advantage of 	 profiter de
to take a step 	 faire un pas (aussi au sens figuré)
to take a soft/tough/line 	 se montrer indulgent/ferme
to take up a challenge 	 relever un défi
to take up one’s responsibility 	 assumer ses responsabilités
to take someone to task 	 réprimander
to take something for granted 	 considérer comme allant de soi
