a thief 	 un voleur
a theft 	 un vol
thirst 	 la soif
to be thirsting for revenge 	 avoir soif de revanche
thorough 	 minutieux
thought 	 la pensée
thoughtful 	 gentil, attentionné
thoughtless 	 égoïste
to be thrilled 	 être aux anges
a thriller 	 un roman (ou film) à suspense
thrilling 	 passionnant
to thrive, to flourish, to boom 	 prospérer, se développer
to thrust 	 pousser, jeter violemment
a thug 	 un voyou, une brute
a tide 	 une marée, une vague, un courant
tidy 	 bien rangé, ordonné
tight-fisted 	 pingre, avare
to tie 	 nouer, lier
to be tied hand and foot 	 avoir pieds et mains liés
ties 	 des liens
blood ties 	 les liens du sang
family ties 	 des liens de famille
a tier 	 un gradin
to tighten 	 resserrer
to tighten control 	 renforcer
tight 	 serré, tendu
to keep a tight rein on… 	 surveiller de près
to be tightly controlled 	 être étroitement surveillé
to be tight (fam.) 	 manquer d’argent, être serré
to be tight-lipped 	 ne pas desserrer les dents, rester muet
to work full-time 	 à temps plein
part-time 	 à temps partiel
a time bomb 	 une bombe à retardement
time 	 le temps
a tip 	 1. un bout, 2. un pourboire, 3. un conseil
the fingertips 	 le bout des doigts
follow my tip! 	 écoute mon conseil !
to tip off someone about something 	 filer un tuyau, prévenir
to tip 	 incliner, faire pencher
to tip the scales 	 faire pencher la balance
a token 	 un gage, un signe
by the same token, similarly 	 de même…
a toll 	 un péage
a toll road 	 une route à péage
tough 	 dur
to track 	 essayer de retrouver la trace de…
to track down 	 retrouver la trace de, localiser
a track 	 une piste, une voie
to follow in somebody’s tracks 	suivre les traces de
trade 	 le commerce
the trade figures 	 les résultats financiers du commerce extérieur
the trade deficit 	 le déficit de la balance commerciale
a trade union 	 un syndicat
a trademark 	 une marque déposée
to train 	 former, instruire
a trained nurse 	 une infirmière diplômée
a training course 	 un stage
a training college 	 une école professionnelle
to translate 	 traduire
a transplant 	 une greffe
a trap, a pitfall 	 un piège
to fall into a trap trap, to set a trap 	 tendre un piège
to travel 	 voyager
tremendous 	 fantastique, formidable
a trend 	 une tendance, une mode
trendy 	 à la mode
a trial 	1. un procès, 2. une épreuve
a trial of strength 	 une épreuve de force
a trick 	 un tour, une astuce, une combine
a nasty trick 	 un sale tour
to play a trick on someone 	 jouer un tour…
that will do the trick 	 ça fera l’affaire
tricky, thorny 	 épineux
a trifle 	 une bagatelle
to trigger, to generate, to prompt, to cause 	 déclencher
