to trust	faire confiance
tuition	l’instruction, l’enseignement
a tune	un air, une mélodie
to change one’s tune	changer de discours (fig.)
to call the tune	décider, mener la danse
turmoil	agitation, trouble
twilight sunset, dusk	le crépuscule
dawn, sunrise, daybreak	l’aurore
unaware, to be unaware of…	ignorer quelque chose
an underdog	une victime, un opprimé, un faible
to undergo	subir
to undermine	miner, saper, saboter
to underscore	souligner, mettre en évidence
to underpin	étayer
unemployment	le chômage
to unleash	déclencher, déchaîner
a leash	une laisse
unrest	l'agitation
to update	moderniser
an upheaval	un bouleversement
to uphold	défendre, soutenir
an uprising	un soulèvement
to upset	bouleverser
an upsurge	une hausse, une recrudescence, une poussée
a utility	un service public
a U-turn	un revirement, un changement radical
to urge	exhorter, inciter à…
utterly	complètement
vacuum	le vide
value	la valeur
to put/set a great value on…	attacher beaucoup de valeur à…
to vanish	disparaître
vast	énorme
to venture	s’aventurer
to venture a guess	risquer une réponse au hasard
a venture	une entreprise
the verge	le bord, le bas-côté de la route
to be on the verge of a crisis	au bord d’une crise
vested, a vested interest	un intérêt direct
vicious	méchant, brutal
to view	considérer
a view	une vue
point of view, viewpoint	point de vue
a viewer, a TV viewer	un téléspectateur
to vow	jurer, promettre
to wage war	faire la guerre
to wage a campaign	mener une campagne
wages	un salaire (d’ouvrier)
a wage-earner	un salarié (manuel)
a wage-freeze	un blocage des salaires
a wage hike	une augmentation des salaires
a wage cut	une diminution des salaires
the wake	le sillage d’un bateau
in the wake of	à la suite de (fig.)
a walk-out	un débrayage, un arrêt de travail. (dans le cadre d’une grève)
wane, to be on the wane	être en diminution
wanton	gratuit, délibéré
war, warfare	la guerre, l’état de guerre
