cogent 	 convaincant
to coin 	 frapper de la monnaie
to coin a term / a phrase 	 inventer un mot / une expression (fig.)
to commute 	 substituer, commuer, faire la navette
a commuter 	 un banlieusard (qui utilise les transports en commun pour aller à son travail)
a commuter train 	 un train de banlieue
complacent 	 satisfait de soi
Complacency 	 une confiance excessive
to con, to bamboozle 	 escroquer
A conman 	 un escroc
to condone 	 trouver des excuses, fermer les yeux sur…
to conduce to 	 mener à, conduire à
to be conducive to 	 être favorable/propice à
a contingency 	 une éventualité
to be contingent on, to depend on 	 dépendre de, être subordonné à
a conundrum 	 un problème inextricable
the core 	 le centre, le cœur, le noyau
to be rotten to the core 	 pourri jusqu’à la moelle
to counteract 	 contrebalancer
to cow 	 intimider
to crave, to long for 	 désirer ardemment, avoir soif de…
a crucible, a melting pot 	 un creuset
a severe test 	 une dure épreuve (fig.)
a cruise 	 une croisière
to crumble 	 tomber en miettes
a curfew 	 un couvre-feu
a curse 	 une malédiction
to curse 	 maudire, jurer
to curtail 	 limiter, freiner
daft 	 bête, absurde
to debunk 	 discréditer, démystifier
to decay 	 pourrir, dégénérer
to defeat 	 vaincre
to defy, to stand up to 	 défier
to defy death 	 braver la mort
a defiance 	 une attitude de défi
in defiance of the law 	 au mépris de la loi
a defiant attitude 	 une attitude provocante
a delusion 	 une illusion
to deplete 	 réduire, épuiser
depleted uranium 	 uranium appauvri
ozone depletion 	 diminution de la couche d’ozone
derelict 	 en ruines, abandonné
derogatory 	 désobligeant, vexant
dice 	 les dés
dicey 	 risqué, hasardeux
dirt 	 la saleté
to get one’s hands dirty 	 se salir les mains (fig.)
the disabled 	 les handicapés
a mentally disabled child 	 … handicapé mental
disablement benefit 	 une allocation d’invalidité
to dish 	 faire capoter, ruiner
to dish out 	 distribuer généreusement
to dislocate 	 désorganiser, bouleverser
a dislocation, a disruption 	 un bouleversement
dismal 	 lugubre, morose
to distort 	 déformer
ditto 	 idem
not by a long chalk 	 de loin pas
on the sly 	 en douce, en catimini
once in a blue moon 	 tous les trente-six du mois…
to pave the way for 	 ouvrir la voie à…
to pay lip service to… 	 faire semblant de croire, suivre pour la forme
to prick up one’s ears 	 tendre l’oreille
to pull somebody’s leg 	 se moquer de
to put a spoke in the wheel 	 mettre les bâtons dans les roues
to put the cart before the horse 	 mettre la charrue devant les bœufs
to put one’s cards on the table 	 jouer cartes sur table
to put something on the back burner 	 mettre en veilleuse, faire attendre quelque chose
to sit on the fence, to face both ways 	 ne pas prendre position
a log 	 une bûche
to sleep like a log 	 dormir comme un loir
within a stone’s throw 	 à deux pas
to split hairs 	 couper les cheveux en quatre
to take it for granted that… 	 considérer comme un fait acquis
to take somebody down a peg or two 	 rabattre le caquet, remettre quelqu’un à sa place
to take one’s courage in both hands 	 prendre son courage à deux mains
to take to one’s heels 	 déguerpir
take it easy! 	 relax!
to think twice before doing something 	 réfléchir avant d’agir
to throw dust in the eyes 	 jeter de la poudre aux yeux
to say something tongue in cheek 	 ironiquement, en plaisantant
to be on top of the world/to be over the moon 	 au comble du bonheur
to turn a blind eye to… 	 fermer les yeux sur, ignorer
by a whisker 	 à un poil près
to win hands down 	 gagner haut la main
