to dog 	 suivre de près
dogged 	 obstiné, tenace
to donate 	 faire don de
a donor 	 un donneur
to down tools 	 cesser le travail
drab 	 terne, gris
a draft, a blueprint 	 un avant-projet, une ébauche
dreary 	 sinistre, morne
to drift 	 aller à la dérive (sens propre et figuré)
drudgery 	 une corvée
to dub 	 surnommer
dubious 	 douteux, sceptique
to embezzle 	 détourner des fonds
embezzlement 	 détournement de fonds
to embrace 	 embrasser
an all-embracing review 	 une revue d’ensemble
to endow with 	 doter de
to be engulfed in 	 sombrer dans, être submergé par
an entanglement 	 un enchevêtrement, un imbroglio (fig.)
to enrol 	 s’inscrire, inscrire
to entice 	 encourager, inciter
an entrepreneur 	 un entrepreneur
entrepreneurial 	 dynamique
erratic 	 irrégulier, changeant, fantasque
to exact 	 exiger, obtenir
to exert 	 exercer
to exert oneself 	 se dépenser, se donner du mal
exposure 	 l’exposition.
media exposure 	 la couverture médiatique
faint 	 léger
the fare 	 le prix du transport
fast-track 	 ultra rapide, expéditif
feasible 	 faisable, réalisable
a feat 	 un exploit
a fee 	 un honoraire
to fend for oneself 	 se débrouiller tout seul
to fell, to fell a tree, to cut down 	 abattre
to fell an opponent 	 assommer (fig.)
to fend for oneself 	 se débrouiller tout seul
to fend off a blow, an attack 	 repousser, écarter
a fertilizer 	 un engrais
a feud 	 une querelle, un conflit (entre deux familles)
a fiend 	 un démon, un monstre
fiendish 	 infernal, diabolique
he is fiendishly intelligent 	 d’une intelligence redoutable
a file	 un dossier
filthy 	 crasseux
a fine 	 une amende
flabbergasted 	 bouche-bée, sidéré
to flare up 	 éclater, flamber
flimsy 	 fragile
flippant 	 désinvolte
the advantages and drawbacks 	 les avantages et les désavantages
alive and well 	 bien en vie
alive and kicking 	 en pleine forme
assets and liabilities 	 l’actif et le passif
back and forth, to go back and forth 	 faire des allées et venues
in bits and pieces 	 en menus morceaux
to get board and lodging 	 être nourri et logé
it’s raining cats and dogs 	 il pleut des cordes
from the cradle to the grave 	 du berceau à la tombe
dead and gone 	 mort et enterré
to be down and out 	 être au tapis/être sur le pavé
to be down at heel 	 être sur le pavé
in dribs and drabs 	 petit à petit
To pay in dribs and drabs 	 payer au compte-goutte
from dusk to dawn 	 du soir au matin
the ebb and flow 	 le flux et le reflux
fair and square 	 honnête et franc
in fits and starts 	 par à-coups
through fire and water, through thick and thin 	 contre vents et marées
the flora and fauna 	 la flore et la faune
the goodies and the baddies, 	 les bons et les méchants
happy-go-lucky 	 insouciant
a happy-go-lucky arrangement 	 au petit bonheur-la-chance
heads or tails 	 pile ou face
the haves and the have-nots 	 les riches et les pauvres
by hook or by crook 	 coûte que coûte, par tous les moyens
the hustle and bustle of city life 	 le tourbillon de la vie citadine
under lock and key 	 sous les verrous
null and void 	 nul et non avenu
odds and ends 	 des petits objets sans valeur
the peaks and troughs 	 les hauts et les bas
profits and losses 	 pertes et profits
the pros and cons 	 le pour et le contre
tit-for-tat 	 un prêté pour un rendu
topsy-turvy 	 sens dessus dessous
a touch-and-go situation 	 dont l’issue est incertaine
to pick and choose 	 se montrer difficile
safe and sound 	 sain et sauf
supply and demand 	 l’offre et la demande
ways and means 	 différents moyens
with might and main 	 avec force, de toutes ses forces
