a flock 	 un troupeau, une foule
to flock in/out 	 entrer/sortir en foule
to flunk an exam, to fail 	 rater
a flurry of protest 	 une tempête de protestations
a flurry 	 une rafale de vent
forensic 	 médico-légal
Forensic medicine 	 la médecine légale
a forensic expert 	 un expert légiste
a fortnight 	 quinze jours
frantic 	 frénétique
frenzy 	 frénésie
a freak 	 un monstre
to frown 	 froncer les sourcils
to frown upon 	 voir d’un mauvais œil
fudge 	 caramel
to fudge figures/accounts 	 truquer, falsifier
the gist 	 l’essentiel
to fudge a question 	 esquiver
fully-fledged 	 à part entière
a fledgling 	 un oisillon, un novice
to gag 	 baillonner
gaudy 	 criard (couleurs)
gear 	 un équipement
the gears 	 les vitesses (voiture)
gerrymandering 	 des manipulations électorales
to gear 	 équiper, adapter
a gimmick 	 un truc, un gadget
ginger 	 du gingembre
a ginger group 	 un groupe de pression
glamour 	 charme, séduction, prestige
glamourous 	 séduisant, prestigieux
glaring 	 évident, qui saute aux yeux
glee 	 joie, jubilation
gleeful 	 joyeux, heureux
glitzy 	 criard, tapageur, kitsch
a glut 	 une surabondance
to grapple with, to cope with 	 lutter avec, se débattre avec
the grass roots 	 la base
greed 	 l’avidité
greedy 	 gourmand, vorace
grim 	 sombre, lugubre
grubby 	 sale, sordide
a guinea pig 	 un cobaye
gullible 	 crédule
gusto 	 enthousiasme, vigueur
a hacker 	 un pirate (informatique)
hacking 	 le piratage informatique
a hallmark 	 le poinçon, la marque
to harness 	 harnacher
haphazard 	 fantaisiste, n’importe comment, au petit bonheur
hectic 	 trépidant
to heed 	 tenir compte de, faire attention à
heedless 	 étourdi, insouciant
a heel 	 un talon
to be hot on somebody’s heels 	 être sur les talons de quelqu’un
to show a clean pair of heels 	 déguerpir
Under the heel of… 	 sous la botte de
hefty 	 gros, lourd (fig.)
better safe than sorry 	 deux précautions en valent mieux qu’une
where there’s a will there’s a way 	 qui veut, peut…
a stitch in time saves nine 	 mieux vaut prévenir que guérir
birds of a feather flock together 	 qui se ressemble s’assemble
what can’t be cured must be endured 	 il faut savoir accepter l’inévitable
the cure can be worse than the disease 	 le remède est pire que le mal.
the end justifies the means 	 la fin justifie les moyens
the early bird catches the worm 	 le monde appartient à celui qui se lève tôt
a rolling stone gathers no moss 	 pierre qui roule n’amasse pas mousse
the grass is always greener on the other side of the hill 	 c’est toujours mieux chez le voisin
it’s no use crying over spilt milk 	 ce qui est fait est fait
nothing ventured nothing gained 	 qui ne risque rien n’a rien
you can’t make a silk purse out of a sow’s ear 	 on ne peut pas arriver à un excellent résultat sans de bonnes bases
old habits die hard 	 les mauvaises habitudes ont la vie dure
out of sight, out of mind 	 loin des yeux, loin du coeur
let sleeping dogs lie 	 il ne faut pas réveiller le chat qui dort
all’s fair in love and war 	 tout est permis en amour comme à la guerre
