an heir 	 un héritier
the helm 	 la barre
to be at the helm of… 	 être aux commandes (fig.)
to take over the helm 	 prendre la direction, prendre les commandes
a henchman 	 un acolyte
a herd 	 1. un troupeau / 2. une foule
a High School 	 un lycée
a high-rise block 	 une tour, un immeuble élevé
a highjacker 	 un pirate de l’air
a hoax 	 un canular
holy 	 saint, sacré
horrendous 	 épouvantable
idle 	 oisif
to lie idle 	 ne pas tourner
to impede 	 empêcher, entraver
impetus 	 élan
incumbent 	 en exercice
the incumbent president 	 le président en exercice
an inmate 	 un détenu
inner cities, downtown 	 les ghettos des grandes villes, les quartiers pauvres
inside information 	 renseignements confidentiels
insider dealing/insider trading 	 délit d’initié
insolvent 	 insolvable/en faillite
jam 	 de la confiture
a traffic-jam 	 un embouteillage
to jettison 	 jeter par-dessus bord, abandonner (fig.)
a Jew 	 un juif
to kindle 	 allumer, attiser
a knack 	 un don pour
kudos 	 prestige, honneur
to lambast, to castigate 	 fustiger, critiquer sévèremnt
lame 	 boiteux
a lame excuse 	 une piètre excuse
laudatory 	 élogieux
lavish 	 généreux
lead 	 le plomb
a lease 	 un bail
a lecture 	 un cours magistral, une conférence
a lecturer 	 un maître de conférences
leftovers 	 des vestiges
a legacy 	 un héritage
to levy taxes 	 prélever des taxes, des impôts
a limb 	 un membre
to be out on a limb 	 être isolé, se trouver dans une situation difficile
to abuse 	 1. maltraiter / 2. injurier, insulter / 3. abuser de / 4. tromper
an academic 	 1. universitaire / 2. scolaire / 3. théorique / 4. an academic
to accommodate 	 1. loger / 2.accepter (informatique)
to achieve 	 réaliser, mener à bien, atteindre
actual 	 réel, véritable, effectif
an address 	 1. une adresse. 2. un discours
to address 	 prendre la parole
an advertisement 	 1. une publicité. 2. une petite annonce
to advise 	 conseiller
advice 	 des conseils
this is sound advice 	 c’est un conseil avisé
to inform, to notify 	 aviser
affluent 	 riche, aisé
affluence 	 richesse, abondance
agenda 	 un programme, un ordre du jour
agony 	 angoisse, supplice
