to linger 	 s’attarder, traîner
a lingering memory 	 un souvenir persistant
a lingering hope 	 un faible espoir
a litmus test 	 un test décisif
a loan 	 un prêt, un emprunt
to loathe 	 détester, avoir en horreur
to loiter, to loaf, to idle 	 traîner
a loophole 	 une faille, une lacune, un défaut
to loot, to plunder 	 piller
a looting 	 un pillage
a looter 	 un pilleur
a lout 	 un loubard, un voyou
a lager lout 	 un voyou qui se saoule à la bière
ludicrous 	 ridicule, risible
a lump 	 un gros morceau/une masse
to have a lump in one’s throat 	 avoir la gorge serrée (fig.)
a lump of sugar 	 un morceau de sucre
lunatic 	 fou, dément, aliéné
a lunatic asylum 	 un asile d’aliénés
to lure 	 attirer
the maiden-voyage 	 le voyage inaugural
makeshift 	 de fortune
a mall 	 un centre commercial
manure 	 fumier
to massage figures 	 manipuler, truquer des chiffres
a masterpiece 	 un chef-d’œuvre
a maverick 	 un dissident, un non-conformiste
mayhem 	 pagaille, désordre
mercy 	 la miséricorde
merciful / merciless 	 clément, impitoyable
to mesmerize 	 hypnotiser, fasciner
mild 	 doux
a miscellany, a medley 	 un mélange hétéroclite, un pêle-mêle
miscellanious people 	 des gens variés
a modicum 	 un tant soit peu
to molest 	 agresser physiquement
to moonlight 	 travailler au noir
to mortgage 	 hypothéquer
a mortgage 	 une hypothèque
motley 	 hétéroclite, disparate
mundane 	 banal, terre-à-terre
murky 	 trouble, sombre
muslims, moslems 	 les musulmans
to muster 	 rassembler
naught 	 zéro
to come to naught 	 échouer
nerve-racking 	 angoissant
a nickname 	 un surnom
niggling 	 persistant, qui vous ronge
to nip (something) in the bud 	 tuer dans l’œuf, faire avorter
to nod 	 faire un signe affirmatif de la tête
no-holds-barred 	 où tous les coups sont permis
a noose 	 un noeud coulant
to put one’s head in the noose 	 se jeter dans la gueule du loup (fig.)
to tighten the noose 	 resserrer l’étau
to notch up a victory 	 marquer une victoire
notorious 	 notoire
a notch 	 une encoche, une entaille
obnoxious 	 odieux, détestable
off-peak hours 	 les heures creuses
the rush hours 	 les heures de pointe
an offshore platform 	 une plate-forme offshore
offshore investments 	 des investissements extra-territoriaux
offspring 	 la progéniture
an ombudsman 	 un médiateur
an omen 	 présage, augure
Of good omen 	 de bon augure
ominous 	 de mauvais augure
the onus 	 la responsabilité
to outsmart, to outfox, to outwit 	 se montrer plus rusé que…
a pack 	 un paquet
amenity 	 agréments, politesses, civilités
a high-amenity county 	 un comté très agréable à vivre
an alley 	 une ruelle
allure 	 le charme, l’attrait
anxious 	 impatient, désireux de
apology 	 excuses
application 	 1. application. 2. demande, requête, candidature
apt 	 1. susceptible de, enclin à. 2. pertinent
appointment 	 1. rendez-vous. 2. nomination
argument 	 1. argument. 2. débat, discussion. 3. querelle
articulate 	 qui parle bien, qui s’exprime avec aisance
art 	 1. art. 2. ruse, artifice
audience 	 assistance, l’auditoire
a ballot 	 bulletin de vote, tour de scrutin
a bundle 	 un ballot
a band 	 une fanfare, un « groupe », un orchestre
barracks 	 une caserne
a hut, a shed 	 une baraque
a benefit 	 un avantage, une prestation, une allocation
a bachelor 	 un célibataire
a bias 	 1. un penchant. 2. un préjugé
bigoted, bigotry 	 fanatique, sectaire
to bless 	 bénir
a billion 	 un milliard
a bribe 	 un pot-de-vin
a cabin 	 1. hutte, case, cabane. 2. cabine de bateau
a cabinet 	 1. meuble de rangement. 2. gouvernement
