a rift 	 un désaccord
to rig 	 truquer
a rig, an oil-rig 	 une plate-forme pétrolière
a roadblock 	 un barrage routier
to rot 	 pourrir
roundabout 	 détourné
to round up 	 faire une rafle, rassembler
a rout 	 une débandade, une débâcle
rubble 	 des décombres
to rubber stamp 	 avaliser, approuver sans discussion
a rut 	 une ornière
to sail 	 prendre la mer
a sailor 	 un marin
savvy 	 calé
to salvage 	 sauver
to scan, to examine closely 	 scruter, regarder attentivement
a scramble 	 une ruée
a scrap of paper 	 un bout de papier
there isn’t a scrap of truth in what he says 	 pas un brin de vérité
to scrap 	 1. se chamailler / 2. jeter, bazarder
to scrap a project 	 abandonner
a scrap yard 	 une décharge, un cimetière de voitures
secondhand 	 d’occasion
sewer 	 un égout
sewage 	 les eaux usées
a sewage works 	 une station d’épuration
shabby 	 miteux, usé
a shabby trick/action 	 un sale tour
shallow (water) 	 peu profond
a shambles 	 une pagaille
a shark 	 un requin
sharp 	 coupant, pointu
a shell 	 un obus / un coquillage
to shield 	 protéger
a shield 	 un bouclier
shipwreck 	 un naufrage
shoddy 	 de mauvaise qualité, de la camelote
shrewd 	 astucieux, habile
to shun 	 éviter, fuir
to shun work 	 esquiver, éviter le travail
shy 	 timide
to shy away from… 	 répugner à
slack 	 mou
the slack season 	 la saison creuse
a sleeve 	 une manche
sleight of hand 	 un tour de passe-passe
By sleight of hand 	 par un tour de passe-passe (fig.)
slender/slim 	 mince
a slog 	 un travail pénible
sloppy 	 négligé, relâché
sloppiness, carelessness 	 négligence
a slot machine 	 une machine à sous
a slump 	 une forte baisse, une dépression (écon.)
to slump 	 s’effondrer
sly 	 rusé, fine mouche
On the sly 	 en douce…
to smack 	 1. taper, frapper / 2. avoir un goût de…
smart 	 1. intelligent, futé / 2. élégant
a smart card 	 une carte à puce
concrete 	 du béton
a conductor 	 1. un chef d’orchestre. 2. un receveur d’autobus
a driver 	 un conducteur
concurrent 	 coïncidant, simultané
a competitor 	 un concurrent
confidence 	 1. la confiance. 2. confidence
conservation 	 protection de la nature
conservationists 	 les écologistes
consistent 	 logique, cohérent, uniforme, compatible
solid, substantial 	 consistant
to contemplate 	 1. regarder avec attention. 2. envisager, prévoir
a contest 	 1. concours. 2. rencontre sportive
the Presidential contest 	 la course à la présidence
to protest, to dispute 	 contester
convenient 	 commode
suitable, proper, decent 	 Convenable
conviction 	 condamnation, conviction
to convince, to persuade 	 Convaincre
a corpse 	 un cadavre
a body 	 un corps
credit 	1. le mérite. 2. le crédit
a critic 	 un critique, un censeur
a criticism 	 une critique
to cry 	 1. pleurer. 2. crier, s’écrier
a cure 	 un remède
current 	 actuel, en cours
Current events 	 l’actualité
standard, ordinary, fluent 	 Courant
date 	 une date, un rendez-vous, la personne avec qui on sort
decade 	 une décennie
to deceive 	 tromper, duper, abuser
deception 	 tromperie
decent 	 honnête, convenable, brave
