to toss 	 jeter, lancer
to toss a coin 	 jouer à pile ou face
to trample 	 piétiner, bafouer
transient 	 passager, éphémère
to trespass 	 entrer sans permission
a trigger 	 une gâchette
to press / to pull the trigger 	 appuyer sur la gâchette / sur la détente
he is fast on the trigger 	 il réagit vite (fig.)
to trigger off 	 déclencher, amorcer, entraîner
trigger-happy 	 à la gâchette facile
trim, neat 	 bien tenu, propret
a trim haircut 	 une coupe soignée
a trim little garden 	 un petit jardin bien soigné
to be in good shape 	 être en bon état
to get into trim 	 se mettre en forme
to get things into trim 	 mettre les choses en ordre
to trim 	 1. couper, tailler / 2. réduire (fig.) / 3. décorer
to trim costs 	 réduire les coûts
to trim the garden hedge 	 tailler la haie du jardin
trite 	 galvaudé, facile, éculé
a trip 	 un voyage, une excursion
to trip over something 	 trébucher
a business trip 	 un voyage d’affaires
trivial 	 sans intérêt, insignifiant
a trivial piece of news 	 une nouvelle sans intérêt
a trivial mistake 	 une faute sans gravité
a trough 	 un creux, une dépression
a truant 	 un élève absentéiste
to play truant 	 sécher les cours, faire l’école buissonnière
trump card 	 un atout, une carte-maîtresse
tube 	 un tube
a test-tube baby 	 un bébé-éprouvette
a tug-of-war, a showdown 	 une partie de bras-de-fer
a tug-of-love 	 une lutte acharnée entre des parents qui divorcent pour obtenir la garde des enfants
to tussle, to struggle, to fight 	 se battre
to tussle over something 	 se disputer quelque chose
to twist 	 entortiller
don’t twist my words! 	 ne déforme pas ce que je dis !
a twist 	 un rebondissement
unanimous 	 unanime
unashamed 	 non déguisé
unawares 	 1. au dépourvu / 2. par mégarde
unbearable 	 insupportable
uncanny 	 mysterieux, troublant
unchallenged 	 incontesté
underfed 	 sous-alimenté
an underclass 	 une classe très défavorisée
to undercut a competitor 	 vendre moins cher qu’un concurrent
to underestimate, to underrate 	 sous-estimer
to be under way 	 être en route
unfettered 	 sans entraves, incontrôlé
unfit 	 incapable…
unfit for military service 	 inapte au service militaire
unfit to live in 	 inhabitable
unfit for consumption 	 impropre à la consommation
unflagging 	 inlassable
to unfold 	 déployer
unforgivable 	 impardonnable
to unfold a map 	 déplier une carte
to unfold one’s plans 	 révéler ses projets (fig.)
distraction 	 inattention/affolement, folie
domestic 	 1. intérieur, national / 2. domestique, familial
editor 	 rédacteur un chef
dramatic 	 spectaculaire, impressionnant
tragic 	 dramatique
a publisher 	 un éditeur
engaged 	 1. fiancé. 2. occupé, retenu, pris
committed, involved 	 engagé
to evade 	 esquiver, se dérober
tax evasion 	 fraude fiscale
to escape 	 s’évader
eventually 	 finalement, en fin de compte
possibly 	 éventuellement
evidence 	 preuve, témoignage
obviousness 	 évidence
exciting 	 exaltant, passionnant
sexy 	 excitant
exhilarating 	 grisant
hilarious 	 hilarant
experience 	 expérience vécue, aventure
to expose 	 1. démasquer, dénoncer. 2. exposer
dépensier, prodigue, exagéré 	 extravagant
fabric 	 1. étoffe, tissu. 2. structure
a manufacture 	 une fabrique
facilities 	 installations, équipements
easiness 	 facilité
fantasy 	 l’imagination / un fantasme
a fatality 	 accident mortel
Fatal 	 mortel, funeste, néfaste
inevitable, deadly 	 Fatal
a figure 	 1. chiffre. 2. silhouette. 3. personnage
the face 	 La figure
a file 	 un dossier, un fichier, un classeur
a queue, a line 	 une file
