unfortunate 	 fâcheux, regrettable
unfortunately 	 malheureusement
unfounded 	 sans fondement
unfounded allegations 	 des rumeurs sans fondement
unfounded criticism 	 une critique injustifiée
unhampered/unhindered 	 libre, aisé
unmistakable 	 caractéristique
to work unhindered 	 travailler sans être dérangé
unlikely 	 peu probable
unpalatable 	 désagréable, dur à avaler
unprecedented 	 sans précédent
to catch somebody unprepared 	 prendre quelqu’un au dépourvu
unqualified 	 non qualifié
unrest 	 de l’agitation
Social unrest 	 des troubles sociaux
unresolved 	 non résolu
unscathed 	 indemne, sain et sauf
unseemly 	 inconvenant
unsettled 	 instable
the market is unsettled 	 Le marché est instable.
to feel unsettled 	 être perturbé
to leave matters unsettled 	 laisser les choses en suspens
unskilled 	 sans qualifications
unsound, unreliable 	 douteux
an unsound view 	 un jugement mal fondé
ethically unsound/politically unsound… 	 contestable sur le plan éthique/politique
unsteady 	 instable ; irrégulier
unsuccessful 	 infructueux
unsuitable, inappropriate 	 qui ne convient pas, inopportun
unsurprisingly 	 comme il fallait s’y attendre…
unthinkable 	 impensable
the untouchables 	 la caste des intouchables en inde
unusual 	 insolite, inhabituel
unwitting 	 involontaire
unwittingly 	 sans le faire exprès
an uproar 	 un tumulte
the ups and downs 	 les hauts et les bas
up-to-date 	 à jour, moderne, à la page
a matter of utmost urgency 	 une question de la plus extrême urgence
to do one’s utmost 	 faire tout son possible
to the utmost 	 au plus haut degré
at the utmost 	 au maximum
the vanguard 	 l’avant-garde
to be in the vanguard of progress 	 à la pointe du progrès
valuable 	 de grande valeur
to veer 	 changer de direction
valuables 	 des objets de valeur
a veil 	 un voile
to draw a veil over… 	 jeter un voile sur… (fig.)
a vet 	 un vétérinaire
a veteran 	 un ancien combattant
the vicinity 	 le voisinage, les environs
to fix 	 réparer
a quick fix 	 un remède miracle
a fool 	 un idiot, un imbécile
a madman 	 un fou
to forge 	 falsifier, contrefaire
furniture 	 le mobilier
supplies 	 Fournitures
genial 	 affable, chaleureux, sympathique
fantastic, great 	 génial
a graduate 	 un diplômé
a grape 	 un raisin
a bunch 	 grappe
to gratify 	 faire plaisir
to favour, to honour 	 gratifier
grief 	 chagrin, peine
a grievance 	 un grief
to harass 	 harceler, tracasser, tourmenter
sexual harassment 	 harcèlement sexuel
a hazard 	 un danger, un risque
chance, fate, luck 	 le hasard
to indulge… in 	 s’adonner à, se permettre
to be lenient, indulgent 	 être indulgent
ingenuity 	 ingéniosité
ingenious 	 ingénieux
inhabited 	 habité
uninhabited 	 inhabité
to injure 	 blesser, faire du tort
to abuse, to insult 	 injurier
intelligence 	 1. intelligence. 2. renseignements, informations
intoxicated 	 ivre
poisoned 	 intoxiqué
to introduce 	 présenter quelqu’un à quelqu’un d’autre
to insert 	 introduire
