monarchy	la monarchie
a monarch by divine right	un monarque de droit divin
sovereign	souverain
aristocracy	l'aristocratie
oligarchy	oligarchie
not least	en particulier
without charge	sans être inculpé
the rule of law	êtat de droit
is above the law	au-dessus des lois
arbitrary governance	gouvernance arbitraire
a dictator	un dictateur
dictatorship	la dictature
authoritarian	autoritaire
authoritarianism	l'autoritarisme
totalitarian	tototalitaire
totalitarianism	le totalitarisme
a tyrant/an autocrat	un tyran/un autocrate
a despot	un despote
an enlightened despot	un despote éclairé
to set out	énoncer
a military junta	une junte militaire
a coup/a coup d'état	un coup d'état(V1/V2)
a strongman	un homme fort
a regime	un gouvernement autoritaire
the Vichy/Pinochet regime	le régime de Vichy/de Pinochet
a repressive regime	un régime répressif
a political system	un régime politique
to become more democratic	se démoctratiser
to take/ to seize power	prendre le pouvoir/ s'emparer du pouvoir
to come to power	arriver au pouvoir
to come into office	arriver au pouvoir (démocratique)
to be in power	être au pouvoir
to remain/to stay in power	rester au pouvoir (V1/V2)
to cling to power	s'accrocher au pouvoir
good governance	la bonne gouvernance
to misrule/ to mismanage	mal administrer/ mal gérer
misrule	mauvaise gestion
mismanagement	mauvaise gestion
to hold a leader to account	tenir un dirigeant pour responsable
to be accountable to the electorate	être responsable devant les électeurs
accountability	la responsabilité
corruption/ sleaze/ bribery	la corruption (V1/V2/V3)
corrupt	corrompu
a bribe	un pot-de-vin
to bribe sb	acheter, soudoyer qqn (V1)
accountability	la responsabilité
to be accountable to sb	être responsable devant qqn
misconduct	la mauvaise conduite, abus (V1)
the leaders of the executive	les dirigeants de l'exécutif, le gouvernement 
a motion of no confidence	une motion de censure
multi-party system	le multipartisme
single-party system	le system de partie unique
free and fair elections	des élections libres et régulières
vote rigging/ballot rigging/electoral fraud	la fraude électorale (V1/V2/V3)
the election was rigged	l'élection était truquée
a political opponent	un opposant politique
a dissident	un dissident
to gag/ to muzzle the press and the opposition	bâillonner/ museler la presse et l'opposition
to declare a state of emergency	déclarer l'état d'urgence
to trample the constitution	bafouer la constitution
to censor	censurer
censorship	la censure
to block/ to restrict internet access	bloquer/ restreindre l'accès à internet
to circumvent censorship/to bypass censorship	contourner la censure (V1/V2)
human rights	les droits de l'homme
human rights abuses/human rights violations	des atteintes aux droits de l'homme (V1/V2)
a crime against humanity	un crime contre l'humanité
the duty to interfere/to intervene	le devoir d'ingérence (V1/V2)
human-rights lobby	association de défense des droits de l'homme 
China's human rights record	le passé de la Chine en matière de droits de l'homme
the ousting of autocrats	le renversement des autocrates
unrest / turmoil	l'agitation (V1/V2)
a civil war pitting	une guerre civile opposant
discontent	mécontentement, malaise (V1)
to spark unrest	provoquer des troubles
an upheaval	un bouleversement
to stir up trouble	fomenter des troubles
an insurgent	un insurgé
an insurgency	une insurrection
a demonstration/a protest march	une manifestation (V1/V2)
a demonstrator/a protester	un manifestant (V1/V2)
to hold / to attend a rally	organiser / participer à un rassemblement
a riot	une émeute
a rioter	un émeutier ,casseur (V1)
riots broke out	des émeutes ont éclaté
anti-riot police	les CRS
a petrol bomb/a Molotov cocktail	un cocktail Molotov (V1/V2)
tear gas	du gaz lacrymogène
a clash	un heurt ,affrontement (V1)
a skirmish	une échauffourée
a curfew	un couvre-feu
to take to the streets to voice their frustration	descendre dans la rue pour exprimer leur frustration
a mob	une foule déchainée
stormed	prendre d'assaut
to overturn	renverser
lawmakers	les législateurs
an onslaught	une attaque
a plot	un complot
a plotter	un comploteur
to revolt	se révolter
to rebel	se rebeller
a rebel	un rebelle
a rebellion	une rébellion ,révolte (V1)
to defy the authorities	défier les autorités
an uprising	un soulèvement
to rise up against	se soulever contre
to overthrow a dictator/to topple a dictator	renverser un dictateur (V1/V2)
to oust a dictator	évincer un dictateur
the overthrow of a dictator	le renversement d'un dictateur
to depose a ruler	déposer un dirigeant
to collapse	s'effondrer
to restore democracy	restaurer la démocratie
the downfall of a government	la chute d'un gouvernement
to require	nécessiter
to spell out	expliquer en détail
checks and balances	l'équilibre des pouvoirs
ruthless repression	répression brutale
to put down a rebellion/to suppress a rebellion	réprimer une rébellion (V1/V2)
to quell the protests	réprimer ,étouffer la contestation (V1)
crackdown/clampdown	des mesures de repression (V1/V2)
to send people to prison	mettre les gens en prison
to beat sb up	passer qn à tabac
inalienable rights	droits inaliénables
the pursuit of happiness	la recherche du bonheur
to enfranchise women	accorder le droit de vote aux femmes
to be bedevilled by	être tourmenté par
a lot of flak	beaucoup de critiques
