Poverty is comparative : one is always poor, in terms of those who are richer	La pauvreté est relative : on est toujours pauvre, comparé à ceux qui sont plus riches
Why is that so many people feel unfulfilled despite the increase in their material well-being ?	Comment se fait-il que tant de gens se sentent insatisfaits malgré l'augmentation de leur bien-être matériel ?
The number of women with an income of over $1m was up by almost a third in 2015, but male millionaires still outnumbered women 10 to 1	Le nombre de femmes dont le revenu dépasse 1 million de dollars a augmenté de près d'un tiers en 2015, mais il y avait toujours 10 fois plus d'hommes que de femmes millionaires
Golden parachutes are alle the more shocking today as so many people struggling just to get by	Les parachutes dorés sont d'autant plus choquants aujourd'hui que tellement de gens arrivent à peine à joindre les deux bouts
Eradicating poverty worlwide may seem an insuperable task, but so did ending apartheid	L'éradication de la pauvreté dans le monde entier peut sembler une tâche insurmontable, mais mettre fin à l'apartheid semblait impossible aussi
Contrary to popular belief, globalization has actually reduced poverty, even if the gap between the wealthiest and the most destitute has widened	Contrairement à ce que croient beaucoup de gens, en fait, la mondialisation a fait reculer la pauvreté, même si le fossé entre les plus riches et les plus pauvres démunis s'est creusé
As India becomes more and more affluent, its divorce rate is shooting up	ALors que l'Inde s'enrichit de plus en plus, son taux de divorces monte en flèche
In the US, a child bord into a poor family has 1% chance of growing upto become one of the richest 5%	Aux Etats-Unis, un enfant né dans une famille pauvre a une chance sur cent de faire partie des 5% les plus riches à l'âge adulte
But two-thirds of Americans who are now in their 30s or 40s enjoy higher income than their parents did	Mais deux-tiers des Américains qui ont maintenant entre 30 et 40 ans ont un revenu plus élevé que leurs parents
It has been shown that rich people are much more confident than poor people that their neighbours would help them in a crises	On a montré que les riches sont bien plus sûrs que les pauvres que leurs voisins les aideraient en cas de crises
Living standards go up or down according to economic growth	Le niveau de vie augment ou baisse en fonction de la croissance économique
His way of life has changed radically since he became a billionaire	Son mode de vie a été bouleversé depuis qu'il est devenu milliardaire
What does your girlfriend's father do for a living ?	Que fait le père de ta petite amie dans la vie ?
What is the point of earning more by doing overtime if you must give two-thirds of it to the taxman ?	A quoi bon gagner plus en faisant des heures supplémentaires si on doit en donner les deux-tiers au fisc ?
In the Philippines, a lot of children that are left to their own devices survive by collecting metal cans in rubbish dumps	Aux Philippines, beaucoup d'enfants livrés à eux-mêmes survivent en ramassant des boîtes de métal dans les décharges
The gap between rich and poor keeps widening in somme Third-World countries	Le fossé entre les pauvres et les riches ne cesse de se creuser dans certains pays du Sud
More children from low-income families must have acces to higher education	Il faut que davantage d'enfants issus de famille à bas revenus aient accès aux études supérieures
The authors of this book demonstrate that the more inegalitarian a society is, the more crime there is	Les auteurs de ce livre démontrent que plus une société est inégalitaire, plus il y a de criminalité
According to some studies, it is harder to move up the social ladder than it used to be	D'aprè certaines études, il est plus difficile de monter dans l'échelle sociale qu'autrefois
