the universe	l'univers
the solar system	le système solaire
a galaxy	une galaxie
outer space	l'espace
a light year	une année-lumière
a planet	une planète
a comet	une comète
an asteroid	un astéroïde
a black hole	un trou noir
a meteorite	une météorite
a monolith	un monolithe
a megalith	un mégalithe
astronomy	l'astronomie
an astronomer	un astronome
a space buff	un fana de l'espace
It was thrown together	créé à la va-vite
impetus	élan
NASA (National Aeronautics and Space Administration)	la NASA (Administration nationale de l'aéronautique et de l'espace)
the ESA (European Space Agency)	l'ESA (Agence spatiale européenne)
the conquest of space	la conquête de l'espace
the space age	l'ère spatiale
the space race	la course dans l'espace
a space flight	un vol dans l'espace
astronautics	l'astronautique
avionics	l'avionique
airspace	l'espace aérien
the aerospace industry	l'industrie aérospatiale
to journey into space	voyager dans l'espace
a mission to Mars	une mission sur Mars
to explore	explorer
an explorer	un explorateur
a manned flight	un vol habité
an unmanned flight	un vol inhabité
a space suit	une combinaison spatiale
a space helmet	un casque d'astronaute
a crew	un équipage
an astronaut	un astronaute (US)
a cosmonaut	un cosmonaute (RU)
a taïkonaut	un taïkonaute (CH)
spacemen/spacewomen	spationautes(H/F)
space travellers	voyageurs de l'espace
a space cadet	un rêveur ou un astronaute stagiaire
to be out of touch with reality	perdre le contact avec la réalité
to behave strangely	avoir un comportement étrange
a rocket	un fusée
a retrorocket	un rétrofusée
a telescope	un télescope
a probe	une sonde
a spaceship/a rocket ship/spacecraft	un vaisseau spatial(V1/V2/V3)
fuel	du carburant
a shuttle	une navette
a space station	une station spatiale
a lander	un véhicule spatial
a lunar rover	un véhicule lunaire
ISS (International Space Station)	la Station spatiale internationale
a facility	une installation
to lauch	lancer
to blast off	être mis à feu
a satellite laucher	un lanceur de satellites
a lauch pad	une rampe de lancement, pas de tir
the countdown	le compte à rebours
lift-off	l'envol
an engine	un moteur
a rocket engine	un propulseur de fusée, moteur-fusée
to propel	propulser
propellant	le combustible pour fusée, le propergol
rocket fuel	le carburant pour fusée (kérosène)
a lauch véhicule/a booster	une fusée de lancement (V1/V2)
a space rocket/a booster rocket	une fusée interplanétaire (V1/V2)
a multi-stage rocket	une fusée à étages
an airlock	un sas
a byword for	le synonyme de
to grasp	saisir
it is not rocket science	ce n'est pas sorcier (expression)
colloqial	du langage familier
It doesn't take a rocket scientist to understand that	Pas besoin d'être un génie pour comprendre que (expression)
a missile	un missile
a communications satellite	un satellite de télécommunications
a weather satellite	un satellite météorologique
a surveillance satellite	un satellite espion
remote-controled	télécommandé
humbling	humiliant
liability	un handicap
involvement	intervention
to be in orbit / go into orbit	être en orbite / se mettre en orbite
to put a satellite in(to) orbit	mettre un satellite en orbite
to land/to touch down	aterrir (V1/V2)
to splash down / splashdown	amerrir (atterrir en mer) / amerrissage
hurtling	filer
weightlessness/zero gravity 	l'apesanteur (V1/V2)
microgravity	la micro-gravité
space tourism	le tourisme dans l'espace
a feat	un exploit
space research/rocket research	la recherche spatiale (V1/V2)
a space lab	un laboratoire spatial
space science	la spatiologie
a spin-off	une retombée
satnav/global positioning system (GPS)	le GPS (V1, V2 (accronyme))
a flying saucer	un soucoupe volante
an unidentified flying object (UFO)	un OVNI (V1 (accronyme))
an alien/an alien being	un extraterrestre (V1/V2)
a Martien	un martien
to ask for/to promise the moon	demander / promettre la lune
to shoot for the moon	viser très haut
to be over the moon	être aux anges, se croire au paradis
to bay at the moon	hurler à la lune
once in a blue moon	une fois tous les trente-six du mois
