underneath	 en dessous de
stifling	 étouffant
to mangle	 broyer
subsequently	 ensuite, par la suite
ashamed	 avoir honte
abysmal	 épouvantable 
lace	 dentelle
faint-hearted	 peureux
to hide	 cacher
intimacy	 intimité
hen	 poule
to vow to do sth	 se jurer de faire qq
to let sb down	décevoir
to let down sb	 laisser tomber (figuré)
to agonize	 se tourmenter
to squirm	 se tortiller
to thrill	 ravir
to upset	 contrarier
to arise	 se produire
to grasps	saisir (figurer : comprendre)
prone to sth	sujet à qq
on a daily basis	quotidiennement 
pour down	pleuvoir à verse
to melt	foundre
to drag	trainer
dreary	triste, morne
to inhabit	habiter
to sully	 entacher, salir (soutenu : souiller)
engrossed in sth	absorbé par qq
to be unable to do sth	être incapable de faire qq
to think twice	y réfléchir à deux fois (expression)
afoot in the pageant	en marche dans le concours de beauté
rotten	pourri
tight-lipped	muet (dans le sens refusé de parler)
disavow sth 	renier, desavouer 
allegedly	prétendument, supposément
to weaponize sth	transformer qq en arme (sens figuré ou non)
to pile up sth	empiler 
to lie head	attendre qqn (figuré), se préparer, se profiler 
collude	conspirer, être de connivence avec qqn
somehow	d'une manière ou d'une autre, tant bien que mal
to taunt	se moquer de 
to uphold sb or sth	soutenir qqch ou qqn
inescapable	inéluctable
holdouts	réfractaires
clunky	maladroit 
glance	coup d'oeil, aperçus 
witty	plein d'esprit, spirituel
wisecracking	blagueur
to croon	chantonner, fredonner
din	vacarme
mankind	l'humanité
hatch	trappe
bedlam	maison de fous, asile
to handcuff	passer les menottes à qq
to swallow sth		avaler qq 
the nitty-gritty	l'essentiel 
wrecked	(complétement) détruit
to wonder	se demander
overwhelmed by	submergé par
leisure	loisir
tirelessly	sans relâche
to duck	esquivé
dire désastreux
looters	pillards
caseload	nombre de cas, d'affaires
a silver bullet	une solution miracle.
to wound	blesser
to shout	crier
a throng	une foule
a tie 	une cravate
to fear stg	craindre qqch
to duck	esquiver, plonger
