Yo: haría, Tú: harías, Él/Ella: haría, Nosotros: haríamos, Vosotros: haríais, Ellos/Ellas: harían	faire
Yo: vería, Tú: verías, Él/Ella: vería, Nosotros: veríamos, Vosotros: veríais, Ellos/Ellas: verían	voir
Yo: tendría, Tú: tendrías, Él/Ella: tendría, Nosotros: tendríamos, Vosotros: tendríais, Ellos/Ellas: tendrían	avoir
Yo: sería, Tú: serías, Él/Ella: sería, Nosotros: seríamos, Vosotros: seríais, Ellos/Ellas: serían	être
Yo: estaría, Tú: estarías, Él/Ella: estaría, Nosotros: estaríamos, Vosotros: estaríais, Ellos/Ellas: estarían	être (état)
Yo: iría, Tú: irías, Él/Ella: iría, Nosotros: iríamos, Vosotros: iríais, Ellos/Ellas: irían	aller
Yo: diría, Tú: dirías, Él/Ella: diría, Nosotros: diríamos, Vosotros: diríais, Ellos/Ellas: dirían	dire
Yo: sabría, Tú: sabrías, Él/Ella: sabría, Nosotros: sabríamos, Vosotros: sabríais, Ellos/Ellas: sabrían	savoir
Yo: querría, Tú: querrías, Él/Ella: querría, Nosotros: querríamos, Vosotros: querríais, Ellos/Ellas: querrían	vouloir
Yo: daría, Tú: darías, Él/Ella: daría, Nosotros: daríamos, Vosotros: daríais, Ellos/Ellas: darían	donner
Yo: podría, Tú: podrías, Él/Ella: podría, Nosotros: podríamos, Vosotros: podríais, Ellos/Ellas: podrían	pouvoir
Yo: llevaría, Tú: llevarías, Él/Ella: llevaría, Nosotros: llevaríamos, Vosotros: llevaríais, Ellos/Ellas: llevarían	porter
Yo: pasaría, Tú: pasarías, Él/Ella: pasaría, Nosotros: pasaríamos, Vosotros: pasaríais, Ellos/Ellas: pasarían	passer
Yo: pondría, Tú: pondrías, Él/Ella: pondría, Nosotros: pondríamos, Vosotros: pondríais, Ellos/Ellas: pondrían	mettre
Yo: dejaría, Tú: dejarías, Él/Ella: dejaría, Nosotros: dejaríamos, Vosotros: dejaríais, Ellos/Ellas: dejarían	laisser
Yo: hablaría, Tú: hablarías, Él/Ella: hablaría, Nosotros: hablaríamos, Vosotros: hablaríais, Ellos/Ellas: hablarían	parler
Yo: saldría, Tú: saldrías, Él/Ella: saldría, Nosotros: saldríamos, Vosotros: saldríais, Ellos/Ellas: saldrían	sortir
Yo: miraría, Tú: mirarías, Él/Ella: miraría, Nosotros: miraríamos, Vosotros: miraríais, Ellos/Ellas: mirarían	regarder
Yo: viviría, Tú: vivirías, Él/Ella: viviría, Nosotros: viviríamos, Vosotros: viviríais, Ellos/Ellas: vivirían	vivre
Yo: encontraría, Tú: encontrarías, Él/Ella: encontraría, Nosotros: encontraríamos, Vosotros: encontraríais, Ellos/Ellas: encontrarían	trouver
Yo: trabajaría, Tú: trabajarías, Él/Ella: trabajaría, Nosotros: trabajaríamos, Vosotros: trabajaríais, Ellos/Ellas: trabajarían	travailler
Yo: llamaría, Tú: llamarías, Él/Ella: llamaría, Nosotros: llamaríamos, Vosotros: llamaríais, Ellos/Ellas: llamarían	appeler
Yo: sentiría, Tú: sentirías, Él/Ella: sentiría, Nosotros: sentiríamos, Vosotros: sentiríais, Ellos/Ellas: sentirían	sentir
Yo: creería, Tú: creerías, Él/Ella: creería, Nosotros: creeríamos, Vosotros: creeríais, Ellos/Ellas: creerían	croire
Yo: pensaría, Tú: pensarías, Él/Ella: pensaría, Nosotros: pensaríamos, Vosotros: pensaríais, Ellos/Ellas: pensarían	penser
Yo: escribiría, Tú: escribirías, Él/Ella: escribiría, Nosotros: escribiríamos, Vosotros: escribiríais, Ellos/Ellas: escribirían	écrire
Yo: abriría, Tú: abrirías, Él/Ella: abriría, Nosotros: abriríamos, Vosotros: abriríais, Ellos/Ellas: abrirían	ouvrir
Yo: cerraría, Tú: cerrarías, Él/Ella: cerraría, Nosotros: cerraríamos, Vosotros: cerraríais, Ellos/Ellas: cerrarían	fermer
Yo: comería, Tú: comerías, Él/Ella: comería, Nosotros: comeríamos, Vosotros: comeríais, Ellos/Ellas: comerían	manger
Yo: bebería, Tú: beberías, Él/Ella: bebería, Nosotros: beberíamos, Vosotros: beberíais, Ellos/Ellas: beberían	boire
Yo: sacaría, Tú: sacarías, Él/Ella: sacaría, Nosotros: sacaríamos, Vosotros: sacaríais, Ellos/Ellas: sacarían	sortir
Yo: metería, Tú: meterías, Él/Ella: metería, Nosotros: meteríamos, Vosotros: meteríais, Ellos/Ellas: meterían	mettre
Yo: volvería, Tú: volverías, Él/Ella: volvería, Nosotros: volveríamos, Vosotros: volveríais, Ellos/Ellas: volverían	revenir
Yo: quedaría, Tú: quedarías, Él/Ella: quedaría, Nosotros: quedaríamos, Vosotros: quedaríais, Ellos/Ellas: quedarían	rester
Yo: entendería, Tú: entenderías, Él/Ella: entendería, Nosotros: entenderíamos, Vosotros: entenderíais, Ellos/Ellas: entenderían	comprendre
Yo: conocería, Tú: conocerías, Él/Ella: conocería, Nosotros: conoceríamos, Vosotros: conoceríais, Ellos/Ellas: conocerían	connaître
Yo: parecería, Tú: parecerías, Él/Ella: parecería, Nosotros: pareceríamos, Vosotros: pareceríais, Ellos/Ellas: parecerían	sembler
