Yo: haré, Tú: harás, Él/Ella: hará, Nosotros: haremos, Vosotros: haréis, Ellos/Ellas: harán	faire
Yo: veré, Tú: verás, Él/Ella: verá, Nosotros: veremos, Vosotros: veréis, Ellos/Ellas: verán	voir
Yo: tendré, Tú: tendrás, Él/Ella: tendrá, Nosotros: tendremos, Vosotros: tendréis, Ellos/Ellas: tendrán	avoir
Yo: seré, Tú: serás, Él/Ella: será, Nosotros: seremos, Vosotros: seréis, Ellos/Ellas: serán	être
Yo: estaré, Tú: estarás, Él/Ella: estará, Nosotros: estaremos, Vosotros: estaréis, Ellos/Ellas: estarán	être
Yo: iré, Tú: irás, Él/Ella: irá, Nosotros: iremos, Vosotros: iréis, Ellos/Ellas: irán	aller
Yo: deciré, Tú: decirás, Él/Ella: decirá, Nosotros: deciremos, Vosotros: deciréis, Ellos/Ellas: decirán	dire
Yo: saberé, Tú: saberás, Él/Ella: saberá, Nosotros: saberemos, Vosotros: saberéis, Ellos/Ellas: saberán	savoir
Yo: quereré, Tú: quererás, Él/Ella: quererá, Nosotros: quereremos, Vosotros: quereréis, Ellos/Ellas: quererán	vouloir
Yo: daré, Tú: darás, Él/Ella: dará, Nosotros: daremos, Vosotros: daréis, Ellos/Ellas: darán	donner
Yo: podré, Tú: podrás, Él/Ella: podrá, Nosotros: podremos, Vosotros: podréis, Ellos/Ellas: podrán	pouvoir
Yo: llevaré, Tú: llevarás, Él/Ella: llevará, Nosotros: llevaremos, Vosotros: llevaréis, Ellos/Ellas: llevarán	porter
Yo: pasaré, Tú: pasarás, Él/Ella: pasará, Nosotros: pasaremos, Vosotros: pasaréis, Ellos/Ellas: pasarán	passer
Yo: pondré, Tú: pondrás, Él/Ella: pondrá, Nosotros: pondremos, Vosotros: pondréis, Ellos/Ellas: pondrán	mettre
Yo: dejaré, Tú: dejarás, Él/Ella: dejará, Nosotros: dejaremos, Vosotros: dejaréis, Ellos/Ellas: dejarán	laisser
Yo: hablaré, Tú: hablarás, Él/Ella: hablará, Nosotros: hablaremos, Vosotros: hablaréis, Ellos/Ellas: hablarán	parler
Yo: saldré, Tú: saldrás, Él/Ella: saldrá, Nosotros: saldremos, Vosotros: saldréis, Ellos/Ellas: saldrán	sortir
Yo: miraré, Tú: mirarás, Él/Ella: mirará, Nosotros: miraremos, Vosotros: miraréis, Ellos/Ellas: mirarán	regarder
Yo: viviré, Tú: vivirás, Él/Ella: vivirá, Nosotros: viviremos, Vosotros: viviréis, Ellos/Ellas: vivirán	vivre
Yo: encontraré, Tú: encontrarás, Él/Ella: encontrará, Nosotros: encontraremos, Vosotros: encontraréis, Ellos/Ellas: encontrarán	trouver
Yo: trabajaré, Tú: trabajarás, Él/Ella: trabajará, Nosotros: trabajaremos, Vosotros: trabajaréis, Ellos/Ellas: trabajarán	travailler
