Yo: hice, Tú: hiciste, Él/Ella: hizo, Nosotros: hicimos, Vosotros: hicisteis, Ellos/Ellas: hicieron	hacer
Yo: vi, Tú: viste, Él/Ella: vio, Nosotros: vimos, Vosotros: visteis, Ellos/Ellas: vieron	ver
Yo: tuve, Tú: tuviste, Él/Ella: tuvo, Nosotros: tuvimos, Vosotros: tuvisteis, Ellos/Ellas: tuvieron	tener
Yo: fui, Tú: fuiste, Él/Ella: fue, Nosotros: fuimos, Vosotros: fuisteis, Ellos/Ellas: fueron	ser
Yo: estuve, Tú: estuviste, Él/Ella: estuvo, Nosotros: estuvimos, Vosotros: estuvisteis, Ellos/Ellas: estuvieron	estar
Yo: fui, Tú: fuiste, Él/Ella: fue, Nosotros: fuimos, Vosotros: fuisteis, Ellos/Ellas: fueron	ir
Yo: dije, Tú: dijiste, Él/Ella: dijo, Nosotros: dijimos, Vosotros: dijisteis, Ellos/Ellas: dijeron	decir
Yo: sabí, Tú: sabiste, Él/Ella: sabió, Nosotros: sabimos, Vosotros: sabisteis, Ellos/Ellas: sabieron	saber
Yo: quise, Tú: quisiste, Él/Ella: quiso, Nosotros: quisimos, Vosotros: quisisteis, Ellos/Ellas: quisieron	querer
Yo: di, Tú: diste, Él/Ella: dio, Nosotros: dimos, Vosotros: disteis, Ellos/Ellas: dieron	dar
Yo: podí, Tú: podiste, Él/Ella: podió, Nosotros: podimos, Vosotros: podisteis, Ellos/Ellas: podieron	poder
Yo: llevé, Tú: llevaste, Él/Ella: llevó, Nosotros: llevamos, Vosotros: llevasteis, Ellos/Ellas: llevaron	llevar
Yo: pasé, Tú: pasaste, Él/Ella: pasó, Nosotros: pasamos, Vosotros: pasasteis, Ellos/Ellas: pasaron	pasar
Yo: puse, Tú: pusiste, Él/Ella: puso, Nosotros: pusimos, Vosotros: pusisteis, Ellos/Ellas: pusieron	poner
Yo: dejé, Tú: dejaste, Él/Ella: dejó, Nosotros: dejamos, Vosotros: dejasteis, Ellos/Ellas: dejaron	dejar
Yo: hablé, Tú: hablaste, Él/Ella: habló, Nosotros: hablamos, Vosotros: hablasteis, Ellos/Ellas: hablaron	hablar
Yo: salí, Tú: saliste, Él/Ella: salió, Nosotros: salimos, Vosotros: salisteis, Ellos/Ellas: salieron	salir
Yo: miré, Tú: miraste, Él/Ella: miró, Nosotros: miramos, Vosotros: mirasteis, Ellos/Ellas: miraron	mirar
Yo: viví, Tú: viviste, Él/Ella: vivió, Nosotros: vivimos, Vosotros: vivisteis, Ellos/Ellas: vivieron	vivir
