Yo: haga, Tú: hagas, Él/Ella: haga, Nosotros: hagamos, Vosotros: hagáis, Ellos/Ellas: hagan	faire
Yo: vea, Tú: veas, Él/Ella: vea, Nosotros: veamos, Vosotros: veáis, Ellos/Ellas: vean	voir
Yo: tenga, Tú: tengas, Él/Ella: tenga, Nosotros: tengamos, Vosotros: tengáis, Ellos/Ellas: tengan	avoir
Yo: sea, Tú: seas, Él/Ella: sea, Nosotros: seamos, Vosotros: seáis, Ellos/Ellas: sean	être
Yo: esté, Tú: estés, Él/Ella: esté, Nosotros: estemos, Vosotros: estéis, Ellos/Ellas: estén	être
Yo: vaya, Tú: vayas, Él/Ella: vaya, Nosotros: vayamos, Vosotros: vayáis, Ellos/Ellas: vayan	aller
Yo: diga, Tú: digas, Él/Ella: diga, Nosotros: digamos, Vosotros: digáis, Ellos/Ellas: digan	dire
Yo: sepa, Tú: sepas, Él/Ella: sepa, Nosotros: sepamos, Vosotros: sepáis, Ellos/Ellas: sepan	savoir
Yo: quiera, Tú: quieras, Él/Ella: quiera, Nosotros: queramos, Vosotros: queráis, Ellos/Ellas: quieran	vouloir
Yo: dé, Tú: des, Él/Ella: dé, Nosotros: demos, Vosotros: deis, Ellos/Ellas: den	donner
Yo: pueda, Tú: puedas, Él/Ella: pueda, Nosotros: podamos, Vosotros: podáis, Ellos/Ellas: puedan	pouvoir
Yo: lleve, Tú: lleves, Él/Ella: lleve, Nosotros: llevamos, Vosotros: llevéis, Ellos/Ellas: lleven	porter
Yo: pase, Tú: pases, Él/Ella: pase, Nosotros: pasmos, Vosotros: paséis, Ellos/Ellas: pasen	passer
Yo: ponga, Tú: pongas, Él/Ella: ponga, Nosotros: pongamos, Vosotros: pongáis, Ellos/Ellas: pongan	mettre
Yo: deje, Tú: dejes, Él/Ella: deje, Nosotros: dejemos, Vosotros: dejéis, Ellos/Ellas: dejen	laisser
Yo: hable, Tú: hables, Él/Ella: hable, Nosotros: hablemos, Vosotros: habléis, Ellos/Ellas: hablen	parler
Yo: salga, Tú: salgas, Él/Ella: salga, Nosotros: salgamos, Vosotros: salgáis, Ellos/Ellas: salgan	sortir
Yo: mire, Tú: mires, Él/Ella: mire, Nosotros: miremos, Vosotros: miréis, Ellos/Ellas: miren	regarder
Yo: viva, Tú: vivas, Él/Ella: viva, Nosotros: vivamos, Vosotros: viváis, Ellos/Ellas: vivan	vivre
Yo: encuentre, Tú: encuentres, Él/Ella: encuentre, Nosotros: encontremos, Vosotros: encontréis, Ellos/Ellas: encuentren	trouver
Yo: trabaje, Tú: trabajes, Él/Ella: trabaje, Nosotros: trabajemos, Vosotros: trabajéis, Ellos/Ellas: trabajen	travailler
Yo: llame, Tú: llames, Él/Ella: llame, Nosotros: llamemos, Vosotros: llaméis, Ellos/Ellas: llamen	appeler
Yo: sienta, Tú: sientas, Él/Ella: sienta, Nosotros: sintamos, Vosotros: sintáis, Ellos/Ellas: sientan	sentir
Yo: crea, Tú: creas, Él/Ella: crea, Nosotros: creamos, Vosotros: creáis, Ellos/Ellas: crean	croire
Yo: piense, Tú: pienses, Él/Ella: piense, Nosotros: pensemos, Vosotros: penséis, Ellos/Ellas: piensen	penser
Yo: escriba, Tú: escribas, Él/Ella: escriba, Nosotros: escribamos, Vosotros: escribáis, Ellos/Ellas: escriban	écrire
Yo: abra, Tú: abras, Él/Ella: abra, Nosotros: abramos, Vosotros: abráis, Ellos/Ellas: abran	ouvrir
Yo: cierre, Tú: cierres, Él/Ella: cierre, Nosotros: cerremos, Vosotros: cerréis, Ellos/Ellas: cierren	fermer
Yo: coma, Tú: comas, Él/Ella: coma, Nosotros: comamos, Vosotros: comáis, Ellos/Ellas: coman	manger
Yo: beba, Tú: bebas, Él/Ella: beba, Nosotros: bebamos, Vosotros: bebáis, Ellos/Ellas: beban	boire
Yo: saque, Tú: saques, Él/Ella: saque, Nosotros: saquemos, Vosotros: saquéis, Ellos/Ellas: saquen	sortir
Yo: meta, Tú: metas, Él/Ella: meta, Nosotros: metamos, Vosotros: metáis, Ellos/Ellas: metan	mettre
Yo: vuelva, Tú: vuelvas, Él/Ella: vuelva, Nosotros: volvamos, Vosotros: volváis, Ellos/Ellas: vuelvan	revenir
Yo: quede, Tú: quedes, Él/Ella: quede, Nosotros: quedemos, Vosotros: quedéis, Ellos/Ellas: queden	rester
Yo: entienda, Tú: entiendas, Él/Ella: entienda, Nosotros: entendamos, Vosotros: entendáis, Ellos/Ellas: entiendan	comprendre
Yo: conozca, Tú: conozcas, Él/Ella: conozca, Nosotros: conozcamos, Vosotros: conozcáis, Ellos/Ellas: conozcan	connaître
Yo: parezca, Tú: parezcas, Él/Ella: parezca, Nosotros: parezcamos, Vosotros: parezcáis, Ellos/Ellas: parezcan	sembler
Yo: siga, Tú: sigas, Él/Ella: siga, Nosotros: sigamos, Vosotros: sigáis, Ellos/Ellas: sigan	suivre
Yo: suba, Tú: subas, Él/Ella: suba, Nosotros: subamos, Vosotros: subáis, Ellos/Ellas: suban	monter
Yo: baje, Tú: bajes, Él/Ella: baje, Nosotros: bajemos, Vosotros: bajéis, Ellos/Ellas: bajen	descendre
Yo: quite, Tú: quites, Él/Ella: quite, Nosotros: quitemos, Vosotros: quitéis, Ellos/Ellas: quiten	enlever
Yo: empiece, Tú: empieces, Él/Ella: empiece, Nosotros: empecemos, Vosotros: empecéis, Ellos/Ellas: empiecen	commencer
Yo: acabe, Tú: acabes, Él/Ella: acabe, Nosotros: acabemos, Vosotros: acabéis, Ellos/Ellas: acaben	finir
Yo: busque, Tú: busques, Él/Ella: busque, Nosotros: busquemos, Vosotros: busquéis, Ellos/Ellas: busquen	chercher
Yo: espere, Tú: esperes, Él/Ella: espere, Nosotros: esperemos, Vosotros: esperéis, Ellos/Ellas: esperen	attendre
Yo: recuerde, Tú: recuerdes, Él/Ella: recuerde, Nosotros: recordemos, Vosotros: recordéis, Ellos/Ellas: recuerden	se souvenir
Yo: olvide, Tú: olvides, Él/Ella: olvide, Nosotros: olvdemos, Vosotros: olvidéis, Ellos/Ellas: olviden	oublier
Yo: traiga, Tú: traigas, Él/Ella: traiga, Nosotros: traigamos, Vosotros: traigáis, Ellos/Ellas: traigan	apporter
Yo: lea, Tú: leas, Él/Ella: lea, Nosotros: leamos, Vosotros: leáis, Ellos/Ellas: lean	lire
Yo: cuente, Tú: cuentes, Él/Ella: cuente, Nosotros: contemos, Vosotros: contéis, Ellos/Ellas: cuenten	raconter
Yo: cambie, Tú: cambies, Él/Ella: cambie, Nosotros: cambiemos, Vosotros: cambiéis, Ellos/Ellas: cambien	changer
Yo: duerma, Tú: duermas, Él/Ella: duerma, Nosotros: durmamos, Vosotros: durmáis, Ellos/Ellas: duerman	dormir
Yo: despierte, Tú: despiertes, Él/Ella: despierte, Nosotros: despertemos, Vosotros: despertéis, Ellos/Ellas: despierten	réveiller
Yo: corra, Tú: corras, Él/Ella: corra, Nosotros: corramos, Vosotros: corráis, Ellos/Ellas: corran	courir
Yo: juegue, Tú: juegues, Él/Ella: juegue, Nosotros: juguemos, Vosotros: juguéis, Ellos/Ellas: jueguen	jouer
Yo: gane, Tú: ganes, Él/Ella: gane, Nosotros: ganemos, Vosotros: ganéis, Ellos/Ellas: ganen	gagner
Yo: pierda, Tú: pierdas, Él/Ella: pierda, Nosotros: perdamos, Vosotros: perdáis, Ellos/Ellas: pierdan	perdre
Yo: pague, Tú: pagues, Él/Ella: pague, Nosotros: paguemos, Vosotros: pagéis, Ellos/Ellas: paguen	payer
Yo: reciba, Tú: recibas, Él/Ella: reciba, Nosotros: recibamos, Vosotros: recibáis, Ellos/Ellas: reciban	recevoir
Yo: muera, Tú: mueras, Él/Ella: muera, Nosotros: muramos, Vosotros: muráis, Ellos/Ellas: mueran	mourir
Yo: nazca, Tú: nazcas, Él/Ella: nazca, Nosotros: nazcamos, Vosotros: nazcáis, Ellos/Ellas: nazcan	naître
Yo: aprenda, Tú: aprendas, Él/Ella: aprenda, Nosotros: aprendamos, Vosotros: aprendáis, Ellos/Ellas: aprendan	apprendre
Yo: enseñe, Tú: enseñes, Él/Ella: enseñe, Nosotros: enseñemos, Vosotros: enseñéis, Ellos/Ellas: enseñen	enseigner
Yo: ayude, Tú: ayudes, Él/Ella: ayude, Nosotros: ayudemos, Vosotros: ayudéis, Ellos/Ellas: ayuden	aider
Yo: sirva, Tú: sirvas, Él/Ella: sirva, Nosotros: sirvamos, Vosotros: sirváis, Ellos/Ellas: sirvan	servir
Yo: use, Tú: uses, Él/Ella: use, Nosotros: usemos, Vosotros: uséis, Ellos/Ellas: usen	utiliser
Yo: necesite, Tú: necesites, Él/Ella: necesite, Nosotros: necesitemos, Vosotros: necesitéis, Ellos/Ellas: necesiten	avoir besoin
Yo: guste, Tú: gustes, Él/Ella: guste, Nosotros: gustemos, Vosotros: gustéis, Ellos/Ellas: gusten	plaire
