hacer	faire
ver	voir
tener	avoir
ser	être
estar	être
ir	aller
decir	dire
saber	savoir
querer	vouloir
dar	donner
poder	pouvoir
llevar	porter
pasar	passer
poner	mettre
dejar	laisser
hablar	parler
salir	sortir
mirar	regarder
vivir	vivre
encontrar	trouver
trabajar	travailler
llamar	appeler
sentir	sentir
creer	croire
pensar	penser
escribir	écrire
abrir	ouvrir
cerrar	fermer
comer	manger
beber	boire
sacar	sortir
meter	mettre
volver	revenir
quedar	rester
entender	comprendre
conocer	connaître
parecer	sembler
seguir	suivre
subir	monter
bajar	descendre
quitar	enlever
empezar	commencer
acabar	finir
buscar	chercher
esperar	attendre
recordar	se souvenir
olvidar	oublier
traer	apporter
leer	lire
contar	raconter
cambiar	changer
dormir	dormir
despertar	réveiller
correr	courir
jugar	jouer
ganar	gagner
perder	perdre
pagar	payer
recibir	recevoir
morir	mourir
nacer	naître
aprender	apprendre
enseñar	enseigner
ayudar	aider
servir	servir
usar	utiliser
necesitar	avoir besoin
gustar	plaire
