mostrar/recalcar/insistir en / subrayar	insister sur (V1/V2/V3/V4)  
superar / sobrepasar	dépasser (V1/V2)
ámbito/ sector	domaine  
el hecho de que	le fait que  
escasear	se raréfier  
adueñarse / apoderarse	s'emparer du pouvoir (V1/V2)
inversión	investissement  
un culebrón	une série  
una primicia	un scoop  
enganchar	accrocher  
prescindible	superflu  
imprescindible	indispensable essentiel  
un espejo	un miroir le reflet  
dar grima	dégoûter  
escasez	pénurie  
invertir	investir  
destacar	souligner faire remarquer  
las herramientas	les outils  
empobrecido / desfavorecido	défavorisé (V1/V2)
puesto que debido a	puisque en raison de  
ostentar	détenir (le pouvoir)  
promover / fomentar/ impulsar/ alentar	promouvoir, encourager (V1/V2/V3/V4)
implementar/ poner en marcha/ poner en pie	mise en place (V1/V2/V3)
la lucha sin cuartel	la lutte sans merci  
despidos	licenciements  
un despilfarro	un gaspillage  
abastecer	approvisionner  
hacer piña	faire un groupe uni, soudé  
esgrimir	présenter, faire valoir  
abogar por	défendre  
atajar	arrêter, enrayer  
mientras haya	tant qu'il y aura  
vincular	lier  
sin embargo	cependant, pourtant  
ocio	loisir  
volumen de negocios	chiffre d'affaires  
dar el toque de alarma	tirer la sonnette d'alarme  
ilustrar/ hacer hincapié	souligner (V1/V2) 
augura	prévoir  
caída/ derrumbe/ baja	une baisse, une chute (V1/V2/V3)
una subida/ un aumento/ un incremento	une hausse (V1/V2/V3)
añadir	ajouter  
la índole	la nature de qqchose  
los bandos	les partis, camps  
títeres/ marionetas	marionnette (V1/V2)  
un vuelco	un retournement  
ahogar	étouffer, noyer  
sigue siendo	continue d'être  
aprovecharse de	profiter de  
una ventaja/desventaja	un avantage/désavantage  
el marco	le cadre  
brincar	bondir, sauter  
palanca	levier  
el hambre	la faim  
subj en español	subj en français  
subj present en esp	subordonnée avec un futur en français  
como si + subj imp	si... conditionnel  
si fuera tuviera...	si... conditionnel  
retroceso	recul  
reforzar / fortalecer	renforcer (V1/V2)  
ir + gérondif	action progressive  
sobre la marcha	au fur et à mesure  
lidiar con enfrentarse a hacer frente	faire face  
lacra	fléau  
socavar	saper éroder  
cambio de rumbo	changement de cap  
a grandes rasgos	dans les grandes lignes grosso modo  
un desafío / un reto	un défi (V1/V2)
un retroceso	un recul
un avance	un progrès
dar un paso adelante	franchir une nouvelle étape
dar un paso atrás	faire un pas en arrière
dar un paso en falso	faire un faux pas
permitir + infinitivo	permettre de
permitir / posibilitar	permettre (V1/V2)
